

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$51247.50,$24153.75,$27093.75,
Gross Profit,$344141.25,$166541.25,$177600.00,
Gross Loss,($292893.75),($142387.50),($150506.25),
Profit Factor,1.17,1.17,1.18,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$0.00,$0.00,$0.00,
,,,,
Select Total Net Profit,$33588.75,$21476.25,$12112.50,
Select Gross Profit,$324765.00,$162146.25,$162618.75,
Select Gross Loss,($291176.25),($140670.00),($150506.25),
Select Profit Factor,1.12,1.15,1.08,
,,,,
Adjusted Total Net Profit,$34254.83,$12840.83,$14241.48,
Adjusted Gross Profit,$334940.40,$160656.80,$170337.40,
Adjusted Gross Loss,($300685.57),($147815.97),($156095.91),
Adjusted Profit Factor,1.11,1.09,1.09,
,,,,
Total Number of Trades,2927,1550,1377,
Percent Profitable,47.80%,51.68%,43.43%,
Winning Trades,1399,801,598,
Losing Trades,1413,688,725,
Even Trades,115,61,54,
,,,,
Avg. Trade Net Profit,$17.51,$15.58,$19.68,
Avg. Winning Trade,$245.99,$207.92,$296.99,
Avg. Losing Trade,($207.29),($206.96),($207.59),
Ratio Avg. Win:Avg. Loss,1.19,1.00,1.43,
Largest Winning Trade,$1252.50,$1136.25,$1252.50,
Largest Losing Trade,($1065.00),($1065.00),($633.75),
Largest Winner as % of Gross Profit,0.36%,0.68%,0.71%,
Largest Loser as % of Gross Loss,0.36%,0.75%,0.42%,
,,,,
Net Profit as % of Largest Loss,4811.97%,2267.96%,4275.15%,
Select Net Profit as % of Largest Loss,3153.87%,2016.55%,1911.24%,
Adjusted Net Profit as % of Largest Loss,3216.42%,1205.71%,2247.18%,
,,,,
Max. Consecutive Winning Trades,10,11,6,
Max. Consecutive Losing Trades,9,10,9,
Avg. Bars in Total Trades,40.27,41.19,39.24,
Avg. Bars in Winning Trades,45.81,46.88,44.39,
Avg. Bars in Losing Trades,35.90,35.57,36.21,
Avg. Bars in Even Trades,26.58,29.97,22.76,
,,,,
Max. Shares/Contracts Held,3,3,3,
Total Shares/Contracts Held,8781,4650,4131,
Account Size Required,$9802.50,$6015.00,$7383.75,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,51.25%,,,
Annual Rate of Return,4.13%,,,
Buy & Hold Return,168.30%,,,
Return on Account,522.80%,,,
Avg. Monthly Return,$97.31,,,
Std. Deviation of Monthly Return,$1547.41,,,
,,,,
Return Retracement Ratio,2.59,,,
RINA Index,1521.69,,,
Sharpe Ratio,0.17,,,
K-Ratio,n/a,,,
,,,,
Trading Period,10 Years 3 days 2 hours 15 Minutes,,,
Percent of Time in the Market,12.59%,,,
Time in the Market,1 Year 3 Months 2 days 8 hours 5 Minutes,,,
Longest Flat Period,6 days 19 hours 30 Minutes,,,
,,,,
Max. Equity Run-up,$54971.25,,,
Date of Max. Equity Run-up,22/06/2026 09:15,,,
Max Equity Run-up as % of Initial Capital,54.97%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($10233.75),($6300.00),($8160.00),
Date,15/03/2024 14:30,,,
as % of Initial Capital,10.23%,6.30%,8.16%,
Net Profit as % of Drawdown,500.77%,383.39%,332.03%,
Select Net Profit as % of Drawdown,328.22%,340.89%,148.44%,
Adjusted Net Profit as % of Drawdown,334.72%,203.82%,174.53%,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($9802.50),($6015.00),($7383.75),
Date,03/15/24 14:55,,,
as % of Initial Capital,9.80%,6.02%,7.38%,
Net Profit as % of Drawdown,522.80%,401.56%,366.94%,
Select Net Profit as % of Drawdown,342.65%,357.04%,164.04%,
