

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$30536.25,$30536.25,$0.00,
Gross Profit,$130166.25,$130166.25,$0.00,
Gross Loss,($99630.00),($99630.00),$0.00,
Profit Factor,1.31,1.31,n/a,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$0.00,$0.00,$0.00,
,,,,
Select Total Net Profit,$29887.50,$29887.50,$0.00,
Select Gross Profit,$119542.50,$119542.50,$0.00,
Select Gross Loss,($89655.00),($89655.00),$0.00,
Select Profit Factor,1.33,1.33,n/a,
,,,,
Adjusted Total Net Profit,$21381.17,$21381.17,$0.00,
Adjusted Gross Profit,$124396.73,$124396.73,$0.00,
Adjusted Gross Loss,($103015.57),($103015.57),$0.00,
Adjusted Profit Factor,1.21,1.21,n/a,
,,,,
Total Number of Trades,1386,1386,0,
Percent Profitable,36.72%,36.72%,0.00%,
Winning Trades,509,509,0,
Losing Trades,866,866,0,
Even Trades,11,11,0,
,,,,
Avg. Trade Net Profit,$22.03,$22.03,$0.00,
Avg. Winning Trade,$255.73,$255.73,$0.00,
Avg. Losing Trade,($115.05),($115.05),$0.00,
Ratio Avg. Win:Avg. Loss,2.22,2.22,n/a,
Largest Winning Trade,$1511.25,$1511.25,$0.00,
Largest Losing Trade,($1035.00),($1035.00),$0.00,
Largest Winner as % of Gross Profit,1.16%,1.16%,n/a,
Largest Loser as % of Gross Loss,1.04%,1.04%,n/a,
,,,,
Net Profit as % of Largest Loss,2950.36%,2950.36%,n/a,
Select Net Profit as % of Largest Loss,2887.68%,2887.68%,n/a,
Adjusted Net Profit as % of Largest Loss,2065.81%,2065.81%,n/a,
,,,,
Max. Consecutive Winning Trades,6,6,0,
Max. Consecutive Losing Trades,15,15,0,
Avg. Bars in Total Trades,10.89,10.89,0.00,
Avg. Bars in Winning Trades,19.51,19.51,0.00,
Avg. Bars in Losing Trades,5.78,5.78,0.00,
Avg. Bars in Even Trades,13.64,13.64,0.00,
,,,,
Max. Shares/Contracts Held,3,3,0,
Total Shares/Contracts Held,4158,4158,0,
Account Size Required,$5497.50,$5497.50,$0.00,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,30.54%,,,
Annual Rate of Return,2.67%,,,
Buy & Hold Return,160.94%,,,
Return on Account,555.46%,,,
Avg. Monthly Return,$257.72,,,
Std. Deviation of Monthly Return,$869.83,,,
,,,,
Return Retracement Ratio,3.23,,,
RINA Index,3699.57,,,
Sharpe Ratio,0.08,,,
K-Ratio,n/a,,,
,,,,
Trading Period,9 Years 11 Months 17 days,,,
Percent of Time in the Market,4.62%,,,
Time in the Market,5 Months 15 days 2 hours 30 Minutes,,,
Longest Flat Period,22 days 18 hours 15 Minutes,,,
,,,,
Max. Equity Run-up,$31020.00,,,
Date of Max. Equity Run-up,22/04/2025 11:30,,,
Max Equity Run-up as % of Initial Capital,31.02%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($6333.75),($6333.75),$0.00,
Date,31/03/2026 11:15,,,
as % of Initial Capital,6.33%,6.33%,0.00%,
Net Profit as % of Drawdown,482.12%,482.12%,n/a,
Select Net Profit as % of Drawdown,471.88%,471.88%,n/a,
Adjusted Net Profit as % of Drawdown,337.58%,337.58%,n/a,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($5497.50),($5497.50),$0.00,
Date,03/31/26 10:15,,,
as % of Initial Capital,5.50%,5.50%,0.00%,
Net Profit as % of Drawdown,555.46%,555.46%,n/a,
Select Net Profit as % of Drawdown,543.66%,543.66%,0.00%,
Adjusted Net Profit as % of Drawdown,388.93%,388.93%,n/a,
,,,,
Max. Trade Drawdown,($1035.00),($1035.00),$0.00,


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,1386,509,866,
Avg. Trade Net Profit,$22.03,$255.73,($115.05),
1 Std. Deviation of Avg. Trade,$243.83,$218.43,$127.36,
Avg. Trade + 1 Std. Deviation,$265.86,$474.16,$12.31,
Avg. Trade - 1 Std. Deviation,($221.80),$37.30,($242.40),
Coefficient of Variation,1106.72%,85.41%,110.70%,
,,,,
Time Averages,,,,
Avg. Time in Trades,2 hours 54 Minutes,5 hours 22 Minutes,1 hour 27 Minutes,
Avg. Time Between Trades,2 days 12 hours 4 Minutes,6 days 21 hours 53 Minutes,4 days 3 hours 23 Minutes,
Avg. Time Between Trade Profit Peaks,288 days 2 hours,,,
,,,,
Outliers,Total,Positive,Negative,
Number of Outliers,24,10,14,
Outlier Profit/Loss,$648.75,$10623.75,($9975.00),
,,,,
Run-up/Drawdown,,Run-up,Drawdown,
Max. Value,,$1890.00,($1035.00),
Max. Value Date,,09/04/2025,20/11/2025,
Avg. Value,,$176.95,($117.07),
1 Std. Deviation,,$211.62,$128.20,
Avg. + 1 Std. Deviation,,$388.57,$11.14,
Avg. - 1 Std. Deviation,,($34.67),($245.27),
Coefficient of Variation,,119.59%,109.51%,
,,,,
Efficiency Analysis,Total,Entry,Exit,
Avg. Efficiency,-9.21%,51.69%,39.10%,
1 Std. Deviation,57.15%,31.39%,31.93%,
Avg. + 1 Std. Deviation,47.94%,83.07%,71.04%,
Avg. - 1 Std. Deviation,-66.36%,20.30%,7.17%,
Coefficient of Variation,620.53%,60.72%,81.66%,
,,,,
TradeStation Trade Series Analysis,,,,
,,Winners,Losers,
Largest Profit/Loss,,$1511.25,($1035.00),
Largest Profit/Loss as % of Gross,,1.16%,1.04%,
Largest Consec. Profit/Loss,,$3240.00,($2452.50),
Largest Consec. Profit/Loss as % of Gross,,2.49%,2.46%,
,,,,
Winning Series,Number of Series,Avg. Gain per Series,Avg. Loss Next Trade,
1,191,$266.49,($130.13),
2,79,$248.71,($106.99),
3,28,$266.03,($123.62),
4,10,$183.56,($165.00),
5,6,$234.75,($108.13),
6,1,$540.00,($468.75),
,,,,
Losing Series,Number of Series,Avg. Loss per Series,Avg. Gain Next Trade,
1,116,($137.33),$220.54,
2,70,($119.63),$237.59,
3,50,($100.42),$274.80,
4,36,($144.24),$322.40,
5,16,($95.25),$251.48,
6,12,($103.59),$225.63,
7,9,($96.96),$157.92,
8,4,($85.66),$119.06,
9,1,($157.08),$472.50,
10,1,($87.75),$195.00,
11,2,($45.85),$75.00,
13,1,($188.65),$431.25,
15,1,($95.75),$195.00,
,,,,


TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Buy,26/07/2016 09:00,El,$2921.25,$0.00,3,($7.50),-0.02%,$22.50,60.00%,,$0.00,$0.00
,Sell,26/07/2016 09:15,Sell,$2920.75,,($7.50),($7.50),,($15.00),20.00%,-20.00%,$0.00,$0.00
2,Buy,28/07/2016 14:00,El,$2919.00,$0.00,3,($11.25),-0.03%,$7.50,28.57%,,$0.00,$0.00
,Sell,28/07/2016 14:15,Sell,$2918.25,,($11.25),($18.75),,($18.75),28.57%,-42.86%,$0.00,$0.00
3,Buy,29/07/2016 10:30,El,$2922.75,$0.00,3,($11.25),-0.03%,$56.25,71.43%,,$0.00,$0.00
,Sell,29/07/2016 14:00,Sell,$2922.00,,($11.25),($30.00),,($22.50),14.29%,-14.29%,$0.00,$0.00
4,Buy,05/08/2016 09:00,El,$2926.75,$0.00,3,$82.50,0.19%,$97.50,89.66%,,$0.00,$0.00
,Sell,05/08/2016 15:00,EoDL,$2932.25,,$82.50,$52.50,,($11.25),86.21%,75.86%,$0.00,$0.00
5,Buy,11/08/2016 09:00,El,$2934.50,$0.00,3,$67.50,0.15%,$78.75,53.85%,,$0.00,$0.00
,Sell,11/08/2016 15:00,EoDL,$2939.00,,$67.50,$120.00,,($67.50),92.31%,46.15%,$0.00,$0.00
6,Buy,15/08/2016 09:00,El,$2941.75,$0.00,3,$18.75,0.04%,$56.25,71.43%,,$0.00,$0.00
,Sell,15/08/2016 15:00,EoDL,$2943.00,,$18.75,$138.75,,($22.50),52.38%,23.81%,$0.00,$0.00
7,Buy,23/08/2016 09:00,El,$2944.75,$0.00,3,($67.50),-0.15%,$22.50,25.00%,,$0.00,$0.00
,Sell,23/08/2016 15:00,EoDL,$2940.25,,($67.50),$71.25,,($67.50),0.00%,-75.00%,$0.00,$0.00
8,Buy,26/08/2016 09:30,El,$2935.00,$0.00,3,($48.75),-0.11%,$97.50,54.17%,,$0.00,$0.00
,Sell,26/08/2016 11:00,Sell,$2931.75,,($48.75),$22.50,,($82.50),18.75%,-27.08%,$0.00,$0.00
9,Buy,29/08/2016 09:15,El,$2931.00,$0.00,3,$30.00,0.07%,$90.00,85.71%,,$0.00,$0.00
,Sell,29/08/2016 15:00,EoDL,$2933.00,,$30.00,$52.50,,($15.00),42.86%,28.57%,$0.00,$0.00
10,Buy,02/09/2016 09:00,El,$2936.00,$0.00,3,($127.50),-0.29%,$37.50,20.83%,,$0.00,$0.00
,Sell,02/09/2016 13:00,Sell,$2927.50,,($127.50),($75.00),,($142.50),8.33%,-70.83%,$0.00,$0.00
11,Buy,02/09/2016 13:15,El2,$2927.75,$0.00,3,$86.25,0.20%,$93.75,96.15%,,$0.00,$0.00
,Sell,02/09/2016 15:00,EoDL,$2933.50,,$86.25,$11.25,,($3.75),92.31%,88.46%,$0.00,$0.00
12,Buy,12/09/2016 12:15,El,$2898.75,$0.00,3,($75.00),-0.17%,$90.00,48.98%,,$0.00,$0.00
,Sell,12/09/2016 12:45,Sell,$2893.75,,($75.00),($63.75),,($93.75),10.20%,-40.82%,$0.00,$0.00
13,Buy,12/09/2016 13:00,El2,$2896.25,$0.00,3,$300.00,0.69%,$315.00,98.82%,,$0.00,$0.00
,Sell,12/09/2016 15:00,EoDL,$2916.25,,$300.00,$236.25,,($3.75),95.29%,94.12%,$0.00,$0.00
14,Buy,15/09/2016 09:30,El,$2887.00,$0.00,3,$247.50,0.57%,$281.25,91.46%,,$0.00,$0.00
,Sell,15/09/2016 15:00,EoDL,$2903.50,,$247.50,$483.75,,($26.25),89.02%,80.49%,$0.00,$0.00
