

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$2043.75,$0.00,$2043.75,
Gross Profit,$16728.75,$0.00,$16728.75,
Gross Loss,($14685.00),$0.00,($14685.00),
Profit Factor,1.14,n/a,1.14,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$0.00,$0.00,$0.00,
,,,,
Select Total Net Profit,$2876.25,$0.00,$2876.25,
Select Gross Profit,$15663.75,$0.00,$15663.75,
Select Gross Loss,($12787.50),$0.00,($12787.50),
Select Profit Factor,1.22,n/a,1.22,
,,,,
Adjusted Total Net Profit,($402.98),$0.00,($402.98),
Adjusted Gross Profit,$15201.63,$0.00,$15201.63,
Adjusted Gross Loss,($15604.61),$0.00,($15604.61),
Adjusted Profit Factor,0.97,n/a,0.97,
,,,,
Total Number of Trades,377,0,377,
Percent Profitable,31.83%,0.00%,31.83%,
Winning Trades,120,0,120,
Losing Trades,255,0,255,
Even Trades,2,0,2,
,,,,
Avg. Trade Net Profit,$5.42,$0.00,$5.42,
Avg. Winning Trade,$139.41,$0.00,$139.41,
Avg. Losing Trade,($57.59),$0.00,($57.59),
Ratio Avg. Win:Avg. Loss,2.42,n/a,2.42,
Largest Winning Trade,$571.25,$0.00,$571.25,
Largest Losing Trade,($593.75),$0.00,($593.75),
Largest Winner as % of Gross Profit,3.41%,n/a,3.41%,
Largest Loser as % of Gross Loss,4.04%,n/a,4.04%,
,,,,
Net Profit as % of Largest Loss,344.21%,n/a,344.21%,
Select Net Profit as % of Largest Loss,484.42%,n/a,484.42%,
Adjusted Net Profit as % of Largest Loss,-67.87%,n/a,-67.87%,
,,,,
Max. Consecutive Winning Trades,4,0,4,
Max. Consecutive Losing Trades,9,0,9,
Avg. Bars in Total Trades,10.28,0.00,10.28,
Avg. Bars in Winning Trades,19.12,0.00,19.12,
Avg. Bars in Losing Trades,6.14,0.00,6.14,
Avg. Bars in Even Trades,8.00,0.00,8.00,
,,,,
Max. Shares/Contracts Held,1,0,1,
Total Shares/Contracts Held,377,0,377,
Account Size Required,$2593.75,$0.00,$2593.75,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,2.04%,,,
Annual Rate of Return,0.20%,,,
Buy & Hold Return,161.14%,,,
Return on Account,78.80%,,,
Avg. Monthly Return,($16.50),,,
Std. Deviation of Monthly Return,$223.45,,,
,,,,
Return Retracement Ratio,0.29,,,
RINA Index,1539.80,,,
Sharpe Ratio,-0.75,,,
K-Ratio,n/a,,,
,,,,
Trading Period,9 Years 11 Months 17 days,,,
Percent of Time in the Market,1.13%,,,
Time in the Market,1 Month 10 days,,,
Longest Flat Period,69 days 23 hours 45 Minutes,,,
,,,,
Max. Equity Run-up,$4748.75,,,
Date of Max. Equity Run-up,07/04/2025 09:00,,,
Max Equity Run-up as % of Initial Capital,4.75%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($2667.50),$0.00,($2667.50),
Date,08/07/2026 11:15,,,
as % of Initial Capital,2.67%,0.00%,2.67%,
Net Profit as % of Drawdown,76.62%,n/a,76.62%,
Select Net Profit as % of Drawdown,107.83%,n/a,107.83%,
Adjusted Net Profit as % of Drawdown,-15.11%,n/a,-15.11%,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($2593.75),$0.00,($2593.75),
Date,07/08/26 11:30,,,
as % of Initial Capital,2.59%,0.00%,2.59%,
Net Profit as % of Drawdown,78.80%,n/a,78.80%,
Select Net Profit as % of Drawdown,110.89%,n/a,110.89%,
Adjusted Net Profit as % of Drawdown,-15.54%,n/a,-15.54%,
,,,,
Max. Trade Drawdown,($636.25),$0.00,($636.25),


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,377,120,255,
Avg. Trade Net Profit,$5.42,$139.41,($57.59),
1 Std. Deviation of Avg. Trade,$124.14,$112.26,$66.65,
Avg. Trade + 1 Std. Deviation,$129.56,$251.67,$9.06,
Avg. Trade - 1 Std. Deviation,($118.72),$27.15,($124.23),
Coefficient of Variation,2289.97%,80.53%,115.73%,
,,,,
Time Averages,,,,
Avg. Time in Trades,2 hours 36 Minutes,4 hours 42 Minutes,1 hour 38 Minutes,
Avg. Time Between Trades,9 days 12 hours 57 Minutes,29 days 9 hours 49 Minutes,14 days 5 hours 10 Minutes,
Avg. Time Between Trade Profit Peaks,382 days 11 hours 58 Minutes,,,
,,,,
Outliers,Total,Positive,Negative,
Number of Outliers,7,2,5,
Outlier Profit/Loss,($832.50),$1065.00,($1897.50),
,,,,
Run-up/Drawdown,,Run-up,Drawdown,
Max. Value,,$571.25,($636.25),
