

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$31263.75,$20778.75,$10485.00,
Gross Profit,$124357.50,$78438.75,$45918.75,
Gross Loss,($93093.75),($57660.00),($35433.75),
Profit Factor,1.34,1.36,1.30,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$0.00,$0.00,$0.00,
,,,,
Select Total Net Profit,$21461.25,$19395.00,$2066.25,
Select Gross Profit,$110006.25,$73237.50,$36768.75,
Select Gross Loss,($88545.00),($53842.50),($34702.50),
Select Profit Factor,1.24,1.36,1.06,
,,,,
Adjusted Total Net Profit,$22246.65,$14189.93,$3857.88,
Adjusted Gross Profit,$118482.16,$74215.75,$41394.24,
Adjusted Gross Loss,($96235.51),($60025.82),($37536.36),
Adjusted Profit Factor,1.23,1.24,1.10,
,,,,
Total Number of Trades,1369,974,395,
Percent Profitable,32.72%,35.42%,26.08%,
Winning Trades,448,345,103,
Losing Trades,878,594,284,
Even Trades,43,35,8,
,,,,
Avg. Trade Net Profit,$22.84,$21.33,$26.54,
Avg. Winning Trade,$277.58,$227.36,$445.81,
Avg. Losing Trade,($106.03),($97.07),($124.77),
Ratio Avg. Win:Avg. Loss,2.62,2.34,3.57,
Largest Winning Trade,$2692.50,$2692.50,$1867.50,
Largest Losing Trade,($588.75),($588.75),($371.25),
Largest Winner as % of Gross Profit,2.17%,3.43%,4.07%,
Largest Loser as % of Gross Loss,0.63%,1.02%,1.05%,
,,,,
Net Profit as % of Largest Loss,5310.19%,3529.30%,2824.24%,
Select Net Profit as % of Largest Loss,3645.22%,3294.27%,556.57%,
Adjusted Net Profit as % of Largest Loss,3778.62%,2410.18%,1039.16%,
,,,,
Max. Consecutive Winning Trades,6,6,3,
Max. Consecutive Losing Trades,14,11,15,
Avg. Bars in Total Trades,8.05,8.35,7.30,
Avg. Bars in Winning Trades,16.00,15.65,17.19,
Avg. Bars in Losing Trades,4.25,4.46,3.82,
Avg. Bars in Even Trades,2.60,2.37,3.63,
,,,,
Max. Shares/Contracts Held,3,3,3,
Total Shares/Contracts Held,4107,2922,1185,
Account Size Required,$5816.25,$2970.00,$4050.00,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,31.26%,,,
Annual Rate of Return,2.72%,,,
Buy & Hold Return,161.55%,,,
Return on Account,537.52%,,,
Avg. Monthly Return,$189.75,,,
Std. Deviation of Monthly Return,$969.78,,,
,,,,
Return Retracement Ratio,2.47,,,
RINA Index,5941.55,,,
Sharpe Ratio,0.08,,,
K-Ratio,n/a,,,
,,,,
Trading Period,9 Years 11 Months 27 days 15 Minutes,,,
Percent of Time in the Market,3.05%,,,
Time in the Market,3 Months 19 days 6 hours 30 Minutes,,,
Longest Flat Period,27 days 30 Minutes,,,
,,,,
Max. Equity Run-up,$35677.50,,,
Date of Max. Equity Run-up,30/04/2025 09:00,,,
Max Equity Run-up as % of Initial Capital,35.68%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($6150.00),($3033.75),($4743.75),
Date,23/03/2026 11:30,,,
as % of Initial Capital,6.15%,3.03%,4.74%,
Net Profit as % of Drawdown,508.35%,684.92%,221.03%,
Select Net Profit as % of Drawdown,348.96%,639.31%,43.56%,
Adjusted Net Profit as % of Drawdown,361.73%,467.74%,81.33%,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($5816.25),($2970.00),($4050.00),
Date,03/31/26 10:45,,,
as % of Initial Capital,5.82%,2.97%,4.05%,
Net Profit as % of Drawdown,537.52%,699.62%,258.89%,
Select Net Profit as % of Drawdown,368.99%,653.03%,51.02%,
Adjusted Net Profit as % of Drawdown,382.49%,477.78%,95.26%,
,,,,
Max. Trade Drawdown,($588.75),($588.75),($371.25),


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,1369,448,878,
Avg. Trade Net Profit,$22.84,$277.58,($106.03),
