

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$47550.00,$47550.00,$0.00,
Gross Profit,$218895.00,$218895.00,$0.00,
Gross Loss,($171345.00),($171345.00),$0.00,
Profit Factor,1.28,1.28,n/a,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$0.00,$0.00,$0.00,
,,,,
Select Total Net Profit,$45463.75,$45463.75,$0.00,
Select Gross Profit,$201998.75,$201998.75,$0.00,
Select Gross Loss,($156535.00),($156535.00),$0.00,
Select Profit Factor,1.29,1.29,n/a,
,,,,
Adjusted Total Net Profit,$32759.90,$32759.90,$0.00,
Adjusted Gross Profit,$211319.83,$211319.83,$0.00,
Adjusted Gross Loss,($178559.93),($178559.93),$0.00,
Adjusted Profit Factor,1.18,1.18,n/a,
,,,,
Total Number of Trades,1403,1403,0,
Percent Profitable,59.52%,59.52%,0.00%,
Winning Trades,835,835,0,
Losing Trades,564,564,0,
Even Trades,4,4,0,
,,,,
Avg. Trade Net Profit,$33.89,$33.89,$0.00,
Avg. Winning Trade,$262.15,$262.15,$0.00,
Avg. Losing Trade,($303.80),($303.80),$0.00,
Ratio Avg. Win:Avg. Loss,0.86,0.86,n/a,
Largest Winning Trade,$2250.00,$2250.00,$0.00,
Largest Losing Trade,($1905.00),($1905.00),$0.00,
Largest Winner as % of Gross Profit,1.03%,1.03%,n/a,
Largest Loser as % of Gross Loss,1.11%,1.11%,n/a,
,,,,
Net Profit as % of Largest Loss,2496.06%,2496.06%,n/a,
Select Net Profit as % of Largest Loss,2386.55%,2386.55%,n/a,
Adjusted Net Profit as % of Largest Loss,1719.68%,1719.68%,n/a,
,,,,
Max. Consecutive Winning Trades,18,18,0,
Max. Consecutive Losing Trades,10,10,0,
Avg. Bars in Total Trades,45.05,45.05,0.00,
Avg. Bars in Winning Trades,40.98,40.98,0.00,
Avg. Bars in Losing Trades,50.99,50.99,0.00,
Avg. Bars in Even Trades,57.50,57.50,0.00,
,,,,
Max. Shares/Contracts Held,7,7,0,
Total Shares/Contracts Held,4784,4784,0,
Account Size Required,$12573.75,$12573.75,$0.00,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,47.55%,,,
Annual Rate of Return,3.89%,,,
Buy & Hold Return,162.31%,,,
Return on Account,378.17%,,,
Avg. Monthly Return,$270.66,,,
Std. Deviation of Monthly Return,$2039.93,,,
,,,,
Return Retracement Ratio,1.66,,,
RINA Index,2968.77,,,
Sharpe Ratio,0.13,,,
K-Ratio,n/a,,,
,,,,
Trading Period,10 Years 2 days 4 hours 5 Minutes,,,
Percent of Time in the Market,3.74%,,,
Time in the Market,4 Months 14 days 14 hours 20 Minutes,,,
Longest Flat Period,48 days 20 hours 15 Minutes,,,
,,,,
Max. Equity Run-up,$53412.50,,,
Date of Max. Equity Run-up,26/03/2026 09:20,,,
Max Equity Run-up as % of Initial Capital,53.41%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($13482.50),($13482.50),$0.00,
Date,17/10/2023 09:00,,,
as % of Initial Capital,13.48%,13.48%,0.00%,
Net Profit as % of Drawdown,352.68%,352.68%,n/a,
Select Net Profit as % of Drawdown,337.21%,337.21%,n/a,
Adjusted Net Profit as % of Drawdown,242.98%,242.98%,n/a,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($12573.75),($12573.75),$0.00,
Date,10/03/23 10:35,,,
as % of Initial Capital,12.57%,12.57%,0.00%,
Net Profit as % of Drawdown,378.17%,378.17%,n/a,
Select Net Profit as % of Drawdown,361.58%,361.58%,0.00%,
Adjusted Net Profit as % of Drawdown,260.54%,260.54%,n/a,
,,,,
Max. Trade Drawdown,($2210.00),($2210.00),$0.00,


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,1403,835,564,
Avg. Trade Net Profit,$33.89,$262.15,($303.80),
1 Std. Deviation of Avg. Trade,$381.35,$228.13,$305.84,
Avg. Trade + 1 Std. Deviation,$415.24,$490.28,$2.03,
Avg. Trade - 1 Std. Deviation,($347.46),$34.02,($609.64),
Coefficient of Variation,1125.21%,87.02%,100.67%,
,,,,
Time Averages,,,,
Avg. Time in Trades,3 hours 40 Minutes,3 hours 20 Minutes,4 hours 10 Minutes,
Avg. Time Between Trades,4 days 5 hours 5 Minutes,4 days 6 hours 11 Minutes,6 days 8 hours 1 Minute,
Avg. Time Between Trade Profit Peaks,130 days 17 hours 52 Minutes,,,
,,,,
Outliers,Total,Positive,Negative,
Number of Outliers,24,14,10,
Outlier Profit/Loss,$2086.25,$16896.25,($14810.00),
,,,,
Run-up/Drawdown,,Run-up,Drawdown,
Max. Value,,$2250.00,($2210.00),
Max. Value Date,,04/11/2020,03/09/2020,
Avg. Value,,$238.11,($276.43),
1 Std. Deviation,,$225.75,$307.20,
Avg. + 1 Std. Deviation,,$463.86,$30.77,
Avg. - 1 Std. Deviation,,$12.36,($583.63),
Coefficient of Variation,,94.81%,111.13%,
,,,,
Efficiency Analysis,Total,Entry,Exit,
Avg. Efficiency,14.99%,51.08%,63.90%,
1 Std. Deviation,56.76%,30.90%,32.72%,
Avg. + 1 Std. Deviation,71.75%,81.98%,96.62%,
Avg. - 1 Std. Deviation,-41.78%,20.19%,31.19%,
Coefficient of Variation,378.79%,60.48%,51.20%,
,,,,
TradeStation Trade Series Analysis,,,,
,,Winners,Losers,
Largest Profit/Loss,,$2250.00,($1905.00),
Largest Profit/Loss as % of Gross,,1.03%,1.11%,
Largest Consec. Profit/Loss,,$8653.75,($5338.75),
Largest Consec. Profit/Loss as % of Gross,,3.95%,3.12%,
,,,,
Winning Series,Number of Series,Avg. Gain per Series,Avg. Loss Next Trade,
1,53,$156.39,($258.14),
2,63,$279.41,($238.31),
3,36,$237.15,($214.24),
4,32,$261.58,($325.78),
5,22,$290.53,($250.06),
6,11,$234.28,($315.34),
7,8,$218.55,($225.00),
8,3,$206.77,($155.00),
9,4,$392.99,($480.00),
10,5,$230.57,($213.75),
11,1,$336.25,($266.25),
12,3,$290.21,($247.50),
13,1,$665.67,($180.00),
18,1,$178.13,($1410.00),
,,,,
Losing Series,Number of Series,Avg. Loss per Series,Avg. Gain Next Trade,
1,70,($65.80),$74.80,
2,107,($385.88),$248.52,
