

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$55716.25,$0.00,$55716.25,
Gross Profit,$218256.25,$0.00,$218256.25,
Gross Loss,($162540.00),$0.00,($162540.00),
Profit Factor,1.34,n/a,1.34,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$0.00,$0.00,$0.00,
,,,,
Select Total Net Profit,$54942.50,$0.00,$54942.50,
Select Gross Profit,$201862.50,$0.00,$201862.50,
Select Gross Loss,($146920.00),$0.00,($146920.00),
Select Profit Factor,1.37,n/a,1.37,
,,,,
Adjusted Total Net Profit,$41415.74,$0.00,$41415.74,
Adjusted Gross Profit,$210426.35,$0.00,$210426.35,
Adjusted Gross Loss,($169010.62),$0.00,($169010.62),
Adjusted Profit Factor,1.25,n/a,1.25,
,,,,
Total Number of Trades,1419,0,1419,
Percent Profitable,54.76%,0.00%,54.76%,
Winning Trades,777,0,777,
Losing Trades,631,0,631,
Even Trades,11,0,11,
,,,,
Avg. Trade Net Profit,$39.26,$0.00,$39.26,
Avg. Winning Trade,$280.90,$0.00,$280.90,
Avg. Losing Trade,($257.59),$0.00,($257.59),
Ratio Avg. Win:Avg. Loss,1.09,n/a,1.09,
Largest Winning Trade,$1880.00,$0.00,$1880.00,
Largest Losing Trade,($1710.00),$0.00,($1710.00),
Largest Winner as % of Gross Profit,0.86%,n/a,0.86%,
Largest Loser as % of Gross Loss,1.05%,n/a,1.05%,
,,,,
Net Profit as % of Largest Loss,3258.26%,n/a,3258.26%,
Select Net Profit as % of Largest Loss,3213.01%,n/a,3213.01%,
Adjusted Net Profit as % of Largest Loss,2421.97%,n/a,2421.97%,
,,,,
Max. Consecutive Winning Trades,18,0,18,
Max. Consecutive Losing Trades,10,0,10,
Avg. Bars in Total Trades,45.41,0.00,45.41,
Avg. Bars in Winning Trades,41.31,0.00,41.31,
Avg. Bars in Losing Trades,50.45,0.00,50.45,
Avg. Bars in Even Trades,46.36,0.00,46.36,
,,,,
Max. Shares/Contracts Held,7,0,7,
Total Shares/Contracts Held,4827,0,4827,
Account Size Required,$9217.50,$0.00,$9217.50,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,55.72%,,,
Annual Rate of Return,4.43%,,,
Buy & Hold Return,167.44%,,,
Return on Account,604.46%,,,
Avg. Monthly Return,$116.03,,,
Std. Deviation of Monthly Return,$1609.44,,,
,,,,
Return Retracement Ratio,2.83,,,
RINA Index,3904.07,,,
Sharpe Ratio,0.17,,,
K-Ratio,n/a,,,
,,,,
Trading Period,10 Years 2 days 4 hours 5 Minutes,,,
Percent of Time in the Market,3.94%,,,
Time in the Market,4 Months 21 days 20 hours,,,
Longest Flat Period,25 days 17 hours 40 Minutes,,,
,,,,
Max. Equity Run-up,$65203.75,,,
Date of Max. Equity Run-up,18/12/2025 07:10,,,
Max Equity Run-up as % of Initial Capital,65.20%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($12061.25),$0.00,($12061.25),
Date,07/04/2025 09:20,,,
as % of Initial Capital,12.06%,0.00%,12.06%,
Net Profit as % of Drawdown,461.94%,n/a,461.94%,
Select Net Profit as % of Drawdown,455.53%,n/a,455.53%,
Adjusted Net Profit as % of Drawdown,343.38%,n/a,343.38%,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($9217.50),$0.00,($9217.50),
Date,05/11/26 10:35,,,
as % of Initial Capital,9.22%,0.00%,9.22%,
Net Profit as % of Drawdown,604.46%,n/a,604.46%,
Select Net Profit as % of Drawdown,596.07%,n/a,596.07%,
Adjusted Net Profit as % of Drawdown,449.32%,n/a,449.32%,
,,,,
Max. Trade Drawdown,($5345.00),$0.00,($5345.00),


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,1419,777,631,
Avg. Trade Net Profit,$39.26,$280.90,($257.59),
1 Std. Deviation of Avg. Trade,$366.44,$250.52,$254.22,
Avg. Trade + 1 Std. Deviation,$405.70,$531.42,($3.37),
Avg. Trade - 1 Std. Deviation,($327.17),$30.38,($511.81),
Coefficient of Variation,933.26%,89.19%,98.69%,
,,,,
Time Averages,,,,
Avg. Time in Trades,3 hours 43 Minutes,3 hours 22 Minutes,4 hours 9 Minutes,
Avg. Time Between Trades,4 days 5 hours 6 Minutes,4 days 14 hours 11 Minutes,5 days 16 hours 27 Minutes,
Avg. Time Between Trade Profit Peaks,167 days,,,
,,,,
Outliers,Total,Positive,Negative,
Number of Outliers,25,12,13,
Outlier Profit/Loss,$773.75,$16393.75,($15620.00),
,,,,
Run-up/Drawdown,,Run-up,Drawdown,
Max. Value,,$3030.00,($5345.00),
Max. Value Date,,07/04/2025,07/04/2025,
Avg. Value,,$248.93,($256.08),
1 Std. Deviation,,$262.62,$344.85,
Avg. + 1 Std. Deviation,,$511.55,$88.77,
Avg. - 1 Std. Deviation,,($13.69),($600.94),
Coefficient of Variation,,105.50%,134.66%,
,,,,
Efficiency Analysis,Total,Entry,Exit,
Avg. Efficiency,8.85%,51.33%,57.52%,
1 Std. Deviation,58.96%,30.61%,35.86%,
Avg. + 1 Std. Deviation,67.81%,81.94%,93.38%,
Avg. - 1 Std. Deviation,-50.10%,20.73%,21.65%,
Coefficient of Variation,665.96%,59.62%,62.35%,
,,,,
TradeStation Trade Series Analysis,,,,
,,Winners,Losers,
Largest Profit/Loss,,$1880.00,($1710.00),
Largest Profit/Loss as % of Gross,,0.86%,1.05%,
Largest Consec. Profit/Loss,,$6940.00,($3637.50),
Largest Consec. Profit/Loss as % of Gross,,3.18%,2.24%,
,,,,
Winning Series,Number of Series,Avg. Gain per Series,Avg. Loss Next Trade,
1,61,$154.94,($242.17),
2,69,$285.54,($255.65),
3,32,$258.49,($180.94),
4,22,$290.43,($188.18),
5,17,$218.94,($226.99),
6,14,$310.22,($340.18),
7,9,$285.48,($277.08),
8,2,$422.19,($117.50),
9,4,$357.60,($220.63),
10,2,$370.19,($226.88),
11,2,$316.19,($46.88),
12,2,$336.93,($410.63),
13,2,$283.03,($350.00),
18,1,$385.56,($146.25),
,,,,
Losing Series,Number of Series,Avg. Loss per Series,Avg. Gain Next Trade,
1,58,($83.38),$88.79,
2,87,($312.97),$255.96,
3,32,($233.75),$152.89,
4,31,($312.69),$270.24,
5,6,($260.00),$103.96,
6,7,($272.98),$230.36,
7,8,($211.34),$57.97,
8,4,($270.63),$195.94,
9,1,($96.53),$40.00,
10,1,($140.50),$138.75,
,,,,


TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Sell Short,08/07/2016 02:30,Sell2,$2851.50,$0.00,3,($311.25),-0.73%,$97.50,23.01%,,$0.00,$0.00
,Buy to Cover,08/07/2016 10:35,chiudoShort,$2872.25,,($311.25),($311.25),,($326.25),3.54%,-73.45%,$0.00,$0.00
2,Sell Short,13/07/2016 07:30,Sell2,$2903.75,$0.00,3,$75.00,0.17%,$86.25,63.89%,,$0.00,$0.00
,Buy to Cover,13/07/2016 10:35,chiudoShort,$2898.75,,$75.00,($236.25),,($48.75),91.67%,55.56%,$0.00,$0.00
3,Sell Short,13/07/2016 08:00,Sell3,$2906.75,$0.00,4,$160.00,0.28%,$175.00,97.22%,,$0.00,$0.00
,Buy to Cover,13/07/2016 10:35,chiudoShort,$2898.75,,$160.00,($76.25),,($5.00),91.67%,88.89%,$0.00,$0.00
4,Sell Short,15/07/2016 08:25,Sell2,$2916.50,$0.00,3,$108.75,0.25%,$120.00,72.73%,,$0.00,$0.00
,Buy to Cover,15/07/2016 10:35,chiudoShort,$2909.25,,$108.75,$32.50,,($45.00),93.18%,65.91%,$0.00,$0.00
5,Sell Short,22/07/2016 03:45,Sell2,$2917.00,$0.00,3,$0.00,0.00%,$78.75,70.00%,,$0.00,$0.00
,Buy to Cover,22/07/2016 10:35,chiudoShort,$2917.00,,$0.00,$32.50,,($33.75),30.00%,0.00%,$0.00,$0.00
6,Sell Short,26/07/2016 08:50,Sell2,$2922.25,$0.00,3,$146.25,0.33%,$206.25,96.49%,,$0.00,$0.00
,Buy to Cover,26/07/2016 10:35,chiudoShort,$2912.50,,$146.25,$178.75,,($7.50),71.93%,68.42%,$0.00,$0.00
7,Sell Short,28/07/2016 02:40,Sell2,$2923.00,$0.00,3,$101.25,0.23%,$101.25,96.43%,,$0.00,$0.00
,Buy to Cover,28/07/2016 06:05,Cover,$2916.25,,$101.25,$280.00,,($3.75),100.00%,96.43%,$0.00,$0.00
8,Sell Short,08/08/2016 03:05,Sell2,$2936.25,$0.00,3,$78.75,0.18%,$78.75,77.78%,,$0.00,$0.00
,Buy to Cover,08/08/2016 09:25,Cover,$2931.00,,$78.75,$358.75,,($22.50),100.00%,77.78%,$0.00,$0.00
9,Sell Short,10/08/2016 06:35,Sell2,$2935.50,$0.00,3,$90.00,0.20%,$90.00,92.31%,,$0.00,$0.00
,Buy to Cover,10/08/2016 10:15,Cover,$2929.50,,$90.00,$448.75,,($7.50),100.00%,92.31%,$0.00,$0.00
10,Sell Short,11/08/2016 01:25,Sell2,$2932.25,$0.00,3,($67.50),-0.15%,$78.75,50.00%,,$0.00,$0.00
,Buy to Cover,11/08/2016 10:35,chiudoShort,$2936.75,,($67.50),$381.25,,($78.75),7.14%,-42.86%,$0.00,$0.00
