

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$25250.00,$25250.00,$0.00,
Gross Profit,$88146.25,$88146.25,$0.00,
Gross Loss,($62896.25),($62896.25),$0.00,
Profit Factor,1.40,1.40,n/a,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$857.50,$857.50,$0.00,
,,,,
Select Total Net Profit,$27303.75,$27303.75,$0.00,
Select Gross Profit,$85675.00,$85675.00,$0.00,
Select Gross Loss,($58371.25),($58371.25),$0.00,
Select Profit Factor,1.47,1.47,n/a,
,,,,
Adjusted Total Net Profit,$17776.47,$17776.47,$0.00,
Adjusted Gross Profit,$83234.05,$83234.05,$0.00,
Adjusted Gross Loss,($65457.58),($65457.58),$0.00,
Adjusted Profit Factor,1.27,1.27,n/a,
,,,,
Total Number of Trades,927,927,0,
Percent Profitable,34.74%,34.74%,0.00%,
Winning Trades,322,322,0,
Losing Trades,603,603,0,
Even Trades,2,2,0,
,,,,
Avg. Trade Net Profit,$27.24,$27.24,$0.00,
Avg. Winning Trade,$273.75,$273.75,$0.00,
Avg. Losing Trade,($104.31),($104.31),$0.00,
Ratio Avg. Win:Avg. Loss,2.62,2.62,n/a,
Largest Winning Trade,$1346.25,$1346.25,$0.00,
Largest Losing Trade,($655.00),($655.00),$0.00,
Largest Winner as % of Gross Profit,1.53%,1.53%,n/a,
Largest Loser as % of Gross Loss,1.04%,1.04%,n/a,
,,,,
Net Profit as % of Largest Loss,3854.96%,3854.96%,n/a,
Select Net Profit as % of Largest Loss,4168.51%,4168.51%,n/a,
Adjusted Net Profit as % of Largest Loss,2713.96%,2713.96%,n/a,
,,,,
Max. Consecutive Winning Trades,5,5,0,
Max. Consecutive Losing Trades,10,10,0,
Avg. Bars in Total Trades,45.41,45.41,0.00,
Avg. Bars in Winning Trades,91.89,91.89,0.00,
Avg. Bars in Losing Trades,20.58,20.58,0.00,
Avg. Bars in Even Trades,51.00,51.00,0.00,
,,,,
Max. Shares/Contracts Held,1,1,0,
Total Shares/Contracts Held,928,928,0,
Account Size Required,$3376.25,$3376.25,$0.00,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,25.25%,,,
Annual Rate of Return,2.25%,,,
Buy & Hold Return,162.00%,,,
Return on Account,747.87%,,,
Avg. Monthly Return,$282.97,,,
Std. Deviation of Monthly Return,$889.90,,,
,,,,
Return Retracement Ratio,4.97,,,
RINA Index,366.27,,,
Sharpe Ratio,0.05,,,
K-Ratio,n/a,,,
,,,,
Trading Period,9 Years 11 Months 28 days 45 Minutes,,,
Percent of Time in the Market,63.85%,,,
Time in the Market,6 Years 4 Months 17 days 30 Minutes,,,
Longest Flat Period,17 days 2 hours 15 Minutes,,,
,,,,
Max. Equity Run-up,$27348.75,,,
Date of Max. Equity Run-up,15/06/2026 10:30,,,
Max Equity Run-up as % of Initial Capital,27.35%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($3996.25),($3996.25),$0.00,
Date,09/04/2025 12:45,,,
