

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$21540.00,$0.00,$21540.00,
Gross Profit,$95606.25,$0.00,$95606.25,
Gross Loss,($74066.25),$0.00,($74066.25),
Profit Factor,1.29,n/a,1.29,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$0.00,$0.00,$0.00,
,,,,
Select Total Net Profit,$23745.00,$0.00,$23745.00,
Select Gross Profit,$89283.75,$0.00,$89283.75,
Select Gross Loss,($65538.75),$0.00,($65538.75),
Select Profit Factor,1.36,n/a,1.36,
,,,,
Adjusted Total Net Profit,$12393.52,$0.00,$12393.52,
Adjusted Gross Profit,$89710.92,$0.00,$89710.92,
Adjusted Gross Loss,($77317.40),$0.00,($77317.40),
Adjusted Profit Factor,1.16,n/a,1.16,
,,,,
Total Number of Trades,855,0,855,
Percent Profitable,30.76%,0.00%,30.76%,
Winning Trades,263,0,263,
Losing Trades,519,0,519,
Even Trades,73,0,73,
,,,,
Avg. Trade Net Profit,$25.19,$0.00,$25.19,
Avg. Winning Trade,$363.52,$0.00,$363.52,
Avg. Losing Trade,($142.71),$0.00,($142.71),
Ratio Avg. Win:Avg. Loss,2.55,n/a,2.55,
Largest Winning Trade,$1687.50,$0.00,$1687.50,
Largest Losing Trade,($1038.75),$0.00,($1038.75),
Largest Winner as % of Gross Profit,1.77%,n/a,1.77%,
Largest Loser as % of Gross Loss,1.40%,n/a,1.40%,
,,,,
Net Profit as % of Largest Loss,2073.65%,n/a,2073.65%,
Select Net Profit as % of Largest Loss,2285.92%,n/a,2285.92%,
Adjusted Net Profit as % of Largest Loss,1193.12%,n/a,1193.12%,
,,,,
Max. Consecutive Winning Trades,5,0,5,
Max. Consecutive Losing Trades,11,0,11,
Avg. Bars in Total Trades,10.27,0.00,10.27,
Avg. Bars in Winning Trades,17.12,0.00,17.12,
Avg. Bars in Losing Trades,7.98,0.00,7.98,
Avg. Bars in Even Trades,1.92,0.00,1.92,
,,,,
Max. Shares/Contracts Held,3,0,3,
Total Shares/Contracts Held,2565,0,2565,
Account Size Required,$5992.50,$0.00,$5992.50,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,21.54%,,,
Annual Rate of Return,1.95%,,,
Buy & Hold Return,161.87%,,,
Return on Account,359.45%,,,
Avg. Monthly Return,$221.81,,,
Std. Deviation of Monthly Return,$1269.39,,,
,,,,
Return Retracement Ratio,1.94,,,
RINA Index,4438.09,,,
Sharpe Ratio,0.00,,,
K-Ratio,n/a,,,
,,,,
Trading Period,9 Years 11 Months 28 days 45 Minutes,,,
Percent of Time in the Market,2.50%,,,
Time in the Market,2 Months 30 days 10 hours 15 Minutes,,,
Longest Flat Period,36 days 20 hours 30 Minutes,,,
,,,,
Max. Equity Run-up,$24360.00,,,
Date of Max. Equity Run-up,28/04/2025 12:45,,,
Max Equity Run-up as % of Initial Capital,24.36%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($6495.00),$0.00,($6495.00),
Date,19/05/2026 12:30,,,
as % of Initial Capital,6.50%,0.00%,6.50%,
Net Profit as % of Drawdown,331.64%,n/a,331.64%,
Select Net Profit as % of Drawdown,365.59%,n/a,365.59%,
Adjusted Net Profit as % of Drawdown,190.82%,n/a,190.82%,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($5992.50),$0.00,($5992.50),
Date,06/02/26 09:30,,,
as % of Initial Capital,5.99%,0.00%,5.99%,
Net Profit as % of Drawdown,359.45%,n/a,359.45%,
Select Net Profit as % of Drawdown,396.25%,n/a,396.25%,
Adjusted Net Profit as % of Drawdown,206.82%,n/a,206.82%,
,,,,
Max. Trade Drawdown,($1038.75),$0.00,($1038.75),


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,855,263,519,
Avg. Trade Net Profit,$25.19,$363.52,($142.71),
1 Std. Deviation of Avg. Trade,$323.96,$356.65,$149.11,
Avg. Trade + 1 Std. Deviation,$349.15,$720.17,$6.40,
Avg. Trade - 1 Std. Deviation,($298.76),$6.87,($291.82),
Coefficient of Variation,1285.90%,98.11%,104.48%,
,,,,
Time Averages,,,,
Avg. Time in Trades,2 hours 33 Minutes,4 hours 11 Minutes,2 hours 4 Minutes,
Avg. Time Between Trades,4 days 3 hours 37 Minutes,13 days 12 hours 40 Minutes,6 days 22 hours 12 Minutes,
Avg. Time Between Trade Profit Peaks,254 days 23 hours 55 Minutes,,,
,,,,
Outliers,Total,Positive,Negative,
Number of Outliers,15,4,11,
Outlier Profit/Loss,($2205.00),$6322.50,($8527.50),
,,,,
Run-up/Drawdown,,Run-up,Drawdown,
Max. Value,,$1687.50,($1038.75),
Max. Value Date,,05/06/2026,03/03/2026,
Avg. Value,,$230.35,($137.12),
1 Std. Deviation,,$301.25,$151.16,
Avg. + 1 Std. Deviation,,$531.60,$14.03,
Avg. - 1 Std. Deviation,,($70.90),($288.28),
Coefficient of Variation,,130.78%,110.23%,
,,,,
Efficiency Analysis,Total,Entry,Exit,
Avg. Efficiency,-7.40%,55.25%,37.35%,
