

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$37725.00,$25143.00,$12582.00,
Gross Profit,$180612.00,$101517.00,$79095.00,
Gross Loss,($142887.00),($76374.00),($66513.00),
Profit Factor,1.26,1.33,1.19,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$0.00,$0.00,$0.00,
,,,,
Select Total Net Profit,$8601.00,$8007.00,$594.00,
Select Gross Profit,$147840.00,$83460.00,$64380.00,
Select Gross Loss,($139239.00),($75453.00),($63786.00),
Select Profit Factor,1.06,1.11,1.01,
,,,,
Adjusted Total Net Profit,$23803.56,$14720.87,$3338.88,
Adjusted Gross Profit,$172788.83,$95482.44,$74092.59,
Adjusted Gross Loss,($148985.27),($80761.57),($70753.71),
Adjusted Profit Factor,1.16,1.18,1.05,
,,,,
Total Number of Trades,1137,610,527,
Percent Profitable,46.88%,46.39%,47.44%,
Winning Trades,533,283,250,
Losing Trades,549,303,246,
Even Trades,55,24,31,
,,,,
Avg. Trade Net Profit,$33.18,$41.22,$23.87,
Avg. Winning Trade,$338.86,$358.72,$316.38,
Avg. Losing Trade,($260.27),($252.06),($270.38),
Ratio Avg. Win:Avg. Loss,1.30,1.42,1.17,
Largest Winning Trade,$4416.00,$3102.00,$4416.00,
Largest Losing Trade,($945.00),($921.00),($945.00),
Largest Winner as % of Gross Profit,2.45%,3.06%,5.58%,
Largest Loser as % of Gross Loss,0.66%,1.21%,1.42%,
,,,,
Net Profit as % of Largest Loss,3992.06%,2729.97%,1331.43%,
Select Net Profit as % of Largest Loss,910.16%,869.38%,62.86%,
Adjusted Net Profit as % of Largest Loss,2518.89%,1598.36%,353.32%,
,,,,
Max. Consecutive Winning Trades,8,9,8,
Max. Consecutive Losing Trades,11,9,7,
Avg. Bars in Total Trades,99.34,100.90,97.53,
Avg. Bars in Winning Trades,118.94,119.52,118.28,
Avg. Bars in Losing Trades,82.71,84.11,80.98,
Avg. Bars in Even Trades,75.35,93.21,61.52,
,,,,
Max. Shares/Contracts Held,3,3,3,
Total Shares/Contracts Held,3411,1830,1581,
Account Size Required,$7320.00,$3333.00,$7647.00,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,37.72%,,,
Annual Rate of Return,3.20%,,,
Buy & Hold Return,96.59%,,,
Return on Account,515.37%,,,
Avg. Monthly Return,$480.67,,,
Std. Deviation of Monthly Return,$1472.52,,,
,,,,
Return Retracement Ratio,2.86,,,
RINA Index,202.87,,,
Sharpe Ratio,0.12,,,
K-Ratio,n/a,,,
,,,,
Trading Period,10 Years 3 days 18 hours 45 Minutes,,,
Percent of Time in the Market,11.67%,,,
Time in the Market,1 Year 1 Month 29 days 18 hours 35 Minutes,,,
Longest Flat Period,39 days 15 hours 40 Minutes,,,
,,,,
Max. Equity Run-up,$40467.00,,,
Date of Max. Equity Run-up,15/06/2026 10:10,,,
Max Equity Run-up as % of Initial Capital,40.47%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($7941.00),($4257.00),($8385.00),
Date,18/01/2026 21:05,,,
as % of Initial Capital,7.94%,4.26%,8.39%,
Net Profit as % of Drawdown,475.07%,590.63%,150.05%,
Select Net Profit as % of Drawdown,108.31%,188.09%,7.08%,
Adjusted Net Profit as % of Drawdown,299.76%,345.80%,39.82%,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($7320.00),($3333.00),($7647.00),
Date,01/16/26 17:00,,,
as % of Initial Capital,7.32%,3.33%,7.65%,
Net Profit as % of Drawdown,515.37%,754.37%,164.54%,
Select Net Profit as % of Drawdown,117.50%,240.23%,7.77%,
Adjusted Net Profit as % of Drawdown,325.19%,441.67%,43.66%,
,,,,
Max. Trade Drawdown,($945.00),($921.00),($945.00),


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,1137,533,549,
Avg. Trade Net Profit,$33.18,$338.86,($260.27),
1 Std. Deviation of Avg. Trade,$445.64,$445.38,$204.56,
Avg. Trade + 1 Std. Deviation,$478.82,$784.24,($55.71),
Avg. Trade - 1 Std. Deviation,($412.46),($106.52),($464.83),
Coefficient of Variation,1343.11%,131.44%,78.60%,
,,,,
Time Averages,,,,
Avg. Time in Trades,9 hours,10 hours 47 Minutes,7 hours 33 Minutes,
Avg. Time Between Trades,3 days 6 hours 8 Minutes,6 days 7 hours 31 Minutes,6 days 5 hours 46 Minutes,
Avg. Time Between Trade Profit Peaks,502 days 3 hours 19 Minutes,,,
,,,,
Outliers,Total,Positive,Negative,
Number of Outliers,18,14,4,
Outlier Profit/Loss,$29124.00,$32772.00,($3648.00),
,,,,
Run-up/Drawdown,,Run-up,Drawdown,
Max. Value,,$4416.00,($945.00),
Max. Value Date,,18/03/2026,12/03/2026,
Avg. Value,,$317.85,($209.21),
1 Std. Deviation,,$408.36,$182.72,
Avg. + 1 Std. Deviation,,$726.21,($26.49),
Avg. - 1 Std. Deviation,,($90.52),($391.92),
Coefficient of Variation,,128.48%,87.34%,
,,,,
Efficiency Analysis,Total,Entry,Exit,
Avg. Efficiency,-4.19%,53.76%,42.05%,
1 Std. Deviation,58.27%,31.51%,34.17%,
Avg. + 1 Std. Deviation,54.08%,85.27%,76.22%,
Avg. - 1 Std. Deviation,-62.47%,22.25%,7.88%,
Coefficient of Variation,1389.59%,58.62%,81.26%,
,,,,
TradeStation Trade Series Analysis,,,,
,,Winners,Losers,
Largest Profit/Loss,,$4416.00,($945.00),
Largest Profit/Loss as % of Gross,,2.45%,0.66%,
Largest Consec. Profit/Loss,,$5631.00,($3042.00),
