

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$273300.00,$138640.00,$134660.00,
Gross Profit,$815360.00,$376780.00,$438580.00,
Gross Loss,($542060.00),($238140.00),($303920.00),
Profit Factor,1.50,1.58,1.44,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$0.00,$0.00,$0.00,
,,,,
Select Total Net Profit,$161650.00,$123030.00,$38620.00,
Select Gross Profit,$703710.00,$361170.00,$342540.00,
Select Gross Loss,($542060.00),($238140.00),($303920.00),
Select Profit Factor,1.30,1.52,1.13,
,,,,
Adjusted Total Net Profit,$214188.20,$99477.07,$90347.73,
Adjusted Gross Profit,$780369.55,$353457.90,$412462.94,
Adjusted Gross Loss,($566181.35),($253980.84),($322115.21),
Adjusted Profit Factor,1.38,1.39,1.28,
,,,,
Total Number of Trades,1055,490,565,
Percent Profitable,51.47%,53.27%,49.91%,
Winning Trades,543,261,282,
Losing Trades,505,226,279,
Even Trades,7,3,4,
,,,,
Avg. Trade Net Profit,$259.05,$282.94,$238.34,
Avg. Winning Trade,$1501.58,$1443.60,$1555.25,
Avg. Losing Trade,($1073.39),($1053.72),($1089.32),
Ratio Avg. Win:Avg. Loss,1.40,1.37,1.43,
Largest Winning Trade,$20550.00,$8050.00,$20550.00,
Largest Losing Trade,($2500.00),($2500.00),($2500.00),
Largest Winner as % of Gross Profit,2.52%,2.14%,4.69%,
Largest Loser as % of Gross Loss,0.46%,1.05%,0.82%,
,,,,
Net Profit as % of Largest Loss,10932.00%,5545.60%,5386.40%,
Select Net Profit as % of Largest Loss,6466.00%,4921.20%,1544.80%,
Adjusted Net Profit as % of Largest Loss,8567.53%,3979.08%,3613.91%,
,,,,
Max. Consecutive Winning Trades,10,8,7,
Max. Consecutive Losing Trades,7,13,7,
Avg. Bars in Total Trades,176.61,177.77,175.61,
Avg. Bars in Winning Trades,187.36,188.50,186.30,
Avg. Bars in Losing Trades,165.06,165.28,164.87,
Avg. Bars in Even Trades,176.86,185.00,170.75,
,,,,
Max. Shares/Contracts Held,1,1,1,
Total Shares/Contracts Held,1055,490,565,
Account Size Required,$17330.00,$32500.00,$21740.00,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,273.30%,,,
Annual Rate of Return,13.16%,,,
Buy & Hold Return,95.91%,,,
Return on Account,1577.03%,,,
Avg. Monthly Return,$4290.25,,,
Std. Deviation of Monthly Return,$7375.98,,,
,,,,
Return Retracement Ratio,4.06,,,
RINA Index,903.23,,,
Sharpe Ratio,0.33,,,
K-Ratio,n/a,,,
,,,,
Trading Period,10 Years 3 days 14 hours 35 Minutes,,,
Percent of Time in the Market,18.47%,,,
Time in the Market,1 Year 10 Months 4 days 12 hours 20 Minutes,,,
Longest Flat Period,14 days 8 hours 45 Minutes,,,
,,,,
Max. Equity Run-up,$279990.00,,,
Date of Max. Equity Run-up,21/05/2026 09:40,,,
Max Equity Run-up as % of Initial Capital,279.99%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($24250.00),($38060.00),($24830.00),
Date,15/04/2026 10:20,,,
as % of Initial Capital,24.25%,38.06%,24.83%,
Net Profit as % of Drawdown,1127.01%,364.27%,542.33%,
Select Net Profit as % of Drawdown,666.60%,323.25%,155.54%,
Adjusted Net Profit as % of Drawdown,883.25%,261.37%,363.87%,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($17330.00),($32500.00),($21740.00),
Date,04/13/26 11:10,,,
as % of Initial Capital,17.33%,32.50%,21.74%,
Net Profit as % of Drawdown,1577.03%,426.58%,619.41%,
Select Net Profit as % of Drawdown,932.78%,378.55%,177.64%,
Adjusted Net Profit as % of Drawdown,1235.94%,306.08%,415.58%,
,,,,
Max. Trade Drawdown,($2500.00),($2500.00),($2500.00),


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,1055,543,505,
Avg. Trade Net Profit,$259.05,$1501.58,($1073.39),
1 Std. Deviation of Avg. Trade,$1985.86,$1933.64,$884.98,
Avg. Trade + 1 Std. Deviation,$2244.91,$3435.22,($188.41),
Avg. Trade - 1 Std. Deviation,($1726.81),($432.05),($1958.36),
Coefficient of Variation,766.59%,128.77%,82.45%,
,,,,
Time Averages,,,,
Avg. Time in Trades,15 hours 22 Minutes,16 hours 32 Minutes,14 hours 7 Minutes,
Avg. Time Between Trades,2 days 20 hours 35 Minutes,6 days 37 Minutes,6 days 15 hours 4 Minutes,
Avg. Time Between Trade Profit Peaks,677 days 14 hours 24 Minutes,,,
,,,,
Outliers,Total,Positive,Negative,
Number of Outliers,11,11,0,
Outlier Profit/Loss,$111650.00,$111650.00,$0.00,
,,,,
Run-up/Drawdown,,Run-up,Drawdown,
Max. Value,,$25540.00,($2500.00),
Max. Value Date,,21/10/2025,10/07/2019,
Avg. Value,,$1506.56,($968.86),
1 Std. Deviation,,$1987.30,$771.68,
Avg. + 1 Std. Deviation,,$3493.86,($197.18),
Avg. - 1 Std. Deviation,,($480.74),($1740.54),
Coefficient of Variation,,131.91%,79.65%,
,,,,
Efficiency Analysis,Total,Entry,Exit,
Avg. Efficiency,1.34%,53.94%,47.39%,
1 Std. Deviation,54.41%,30.46%,31.68%,
Avg. + 1 Std. Deviation,55.75%,84.40%,79.07%,
Avg. - 1 Std. Deviation,-53.08%,23.49%,15.72%,
Coefficient of Variation,4072.33%,56.46%,66.83%,
,,,,
TradeStation Trade Series Analysis,,,,
,,Winners,Losers,
Largest Profit/Loss,,$20550.00,($2500.00),
Largest Profit/Loss as % of Gross,,2.52%,0.46%,
Largest Consec. Profit/Loss,,$23050.00,($12500.00),
Largest Consec. Profit/Loss as % of Gross,,2.83%,2.31%,
,,,,
Winning Series,Number of Series,Avg. Gain per Series,Avg. Loss Next Trade,
1,136,$1573.01,($1053.38),
2,52,$1584.13,($1000.00),
3,42,$1232.38,($1048.57),
4,22,$1668.64,($1384.09),
5,7,$1933.14,($1145.71),
6,5,$1197.00,($876.00),
7,2,$1603.57,($1565.00),
10,1,$854.00,($1380.00),
,,,,
Losing Series,Number of Series,Avg. Loss per Series,Avg. Gain Next Trade,
1,138,($1055.22),$1506.23,
2,68,($1130.59),$1753.73,
3,29,($1055.17),$1317.59,
4,23,($1062.93),$1943.48,
5,4,($1752.50),$1295.00,
6,3,($688.33),$1643.33,
7,2,($403.57),$825.00,
,,,,


TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Sell Short,12/07/2016 05:30,SE,$2107.5,$0.00,1,$1970.00,0.93%,$2320.00,97.48%,,$0.00,$0.00
,Buy to Cover,12/07/2016 16:50,SX,$2087.8,,$1970.00,$1970.00,,($60.00),85.29%,82.77%,$0.00,$0.00
2,Sell Short,14/07/2016 00:35,SE,$2091.5,$0.00,1,$390.00,0.19%,$1780.00,95.70%,,$0.00,$0.00
,Buy to Cover,14/07/2016 16:50,SX,$2087.6,,$390.00,$2360.00,,($80.00),25.27%,20.97%,$0.00,$0.00
3,Buy,19/07/2016 04:25,LE,$2085.1,$0.00,1,$90.00,0.04%,$370.00,50.00%,,$0.00,$0.00
,Sell,19/07/2016 16:50,LX,$2086.0,,$90.00,$2450.00,,($370.00),62.16%,12.16%,$0.00,$0.00
4,Sell Short,20/07/2016 01:55,SE,$2084.1,$0.00,1,$1560.00,0.75%,$1830.00,100.00%,,$0.00,$0.00
,Buy to Cover,20/07/2016 16:50,SX,$2068.5,,$1560.00,$4010.00,,$0.00,85.25%,85.25%,$0.00,$0.00
5,Sell Short,22/07/2016 03:10,SE,$2077.7,$0.00,1,$230.00,0.11%,$500.00,70.42%,,$0.00,$0.00
,Buy to Cover,22/07/2016 16:50,SX,$2075.4,,$230.00,$4240.00,,($210.00),61.97%,32.39%,$0.00,$0.00
6,Sell Short,25/07/2016 04:35,SE,$2068.1,$0.00,1,($110.00),-0.05%,$370.00,34.26%,,$0.00,$0.00
,Buy to Cover,25/07/2016 16:50,SX,$2069.2,,($110.00),$4130.00,,($710.00),55.56%,-10.19%,$0.00,$0.00
7,Buy,26/07/2016 03:25,LE,$2073.7,$0.00,1,$10.00,0.00%,$400.00,57.97%,,$0.00,$0.00
,Sell,26/07/2016 16:50,LX,$2073.8,,$10.00,$4140.00,,($290.00),43.48%,1.45%,$0.00,$0.00
8,Buy,27/07/2016 01:00,LE,$2073.5,$0.00,1,$2090.00,1.01%,$2230.00,88.49%,,$0.00,$0.00
,Sell,27/07/2016 16:50,LX,$2094.4,,$2090.00,$6230.00,,($290.00),94.44%,82.94%,$0.00,$0.00
9,Sell Short,04/08/2016 00:10,SE,$2102.6,$0.00,1,($1050.00),-0.50%,$170.00,10.43%,,$0.00,$0.00
,Buy to Cover,04/08/2016 16:50,SX,$2113.1,,($1050.00),$5180.00,,($1460.00),25.15%,-64.42%,$0.00,$0.00
10,Buy,16/08/2016 01:35,LE,$2098.3,$0.00,1,($40.00),-0.02%,$1180.00,65.56%,,$0.00,$0.00
,Sell,16/08/2016 16:50,LX,$2097.9,,($40.00),$5140.00,,($620.00),32.22%,-2.22%,$0.00,$0.00
11,Sell Short,18/08/2016 02:50,SE,$2102.2,$0.00,1,($20.00),-0.01%,$520.00,66.67%,,$0.00,$0.00
,Buy to Cover,18/08/2016 16:50,SX,$2102.4,,($20.00),$5120.00,,($260.00),30.77%,-2.56%,$0.00,$0.00
12,Sell Short,19/08/2016 03:50,SE,$2097.1,$0.00,1,$690.00,0.33%,$930.00,77.50%,,$0.00,$0.00
,Buy to Cover,19/08/2016 16:50,SX,$2090.2,,$690.00,$5810.00,,($270.00),80.00%,57.50%,$0.00,$0.00
13,Buy,23/08/2016 02:45,LE,$2089.4,$0.00,1,($90.00),-0.04%,$520.00,70.27%,,$0.00,$0.00
,Sell,23/08/2016 16:50,LX,$2088.5,,($90.00),$5720.00,,($220.00),17.57%,-12.16%,$0.00,$0.00
14,Sell Short,24/08/2016 00:15,SE,$2086.8,$0.00,1,$1320.00,0.63%,$1400.00,81.87%,,$0.00,$0.00
,Buy to Cover,24/08/2016 16:50,SX,$2073.6,,$1320.00,$7040.00,,($310.00),95.32%,77.19%,$0.00,$0.00
15,Buy,26/08/2016 00:10,LE,$2073.2,$0.00,1,($240.00),-0.12%,$1860.00,75.00%,,$0.00,$0.00
,Sell,26/08/2016 16:50,LX,$2070.8,,($240.00),$6800.00,,($620.00),15.32%,-9.68%,$0.00,$0.00
16,Sell Short,30/08/2016 01:55,SE,$2071.5,$0.00,1,$1200.00,0.58%,$1370.00,97.86%,,$0.00,$0.00
,Buy to Cover,30/08/2016 16:50,SX,$2059.5,,$1200.00,$8000.00,,($30.00),87.86%,85.71%,$0.00,$0.00
17,Buy,08/09/2016 00:55,LE,$2097.7,$0.00,1,($1020.00),-0.49%,$200.00,13.51%,,$0.00,$0.00
,Sell,08/09/2016 16:50,LX,$2087.5,,($1020.00),$6980.00,,($1280.00),17.57%,-68.92%,$0.00,$0.00
18,Buy,12/09/2016 02:00,LE,$2078.7,$0.00,1,($190.00),-0.09%,$90.00,8.57%,,$0.00,$0.00
,Sell,12/09/2016 16:50,LX,$2076.8,,($190.00),$6790.00,,($960.00),73.33%,-18.10%,$0.00,$0.00
19,Sell Short,15/09/2016 00:10,SE,$2071.6,$0.00,1,$790.00,0.38%,$1370.00,67.16%,,$0.00,$0.00
,Buy to Cover,15/09/2016 16:50,SX,$2063.7,,$790.00,$7580.00,,($670.00),71.57%,38.73%,$0.00,$0.00
20,Buy,19/09/2016 03:05,LE,$2066.0,$0.00,1,($360.00),-0.17%,$160.00,23.53%,,$0.00,$0.00
,Sell,19/09/2016 16:50,LX,$2062.4,,($360.00),$7220.00,,($520.00),23.53%,-52.94%,$0.00,$0.00
