

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$35511.00,$35511.00,$0.00,
Gross Profit,$114453.00,$114453.00,$0.00,
Gross Loss,($78942.00),($78942.00),$0.00,
Profit Factor,1.45,1.45,n/a,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$0.00,$0.00,$0.00,
,,,,
Select Total Net Profit,$28662.00,$28662.00,$0.00,
Select Gross Profit,$91743.00,$91743.00,$0.00,
Select Gross Loss,($63081.00),($63081.00),$0.00,
Select Profit Factor,1.45,1.45,n/a,
,,,,
Adjusted Total Net Profit,$26457.71,$26457.71,$0.00,
Adjusted Gross Profit,$109228.96,$109228.96,$0.00,
Adjusted Gross Loss,($82771.25),($82771.25),$0.00,
Adjusted Profit Factor,1.32,1.32,n/a,
,,,,
Total Number of Trades,915,915,0,
Percent Profitable,52.46%,52.46%,0.00%,
Winning Trades,480,480,0,
Losing Trades,425,425,0,
Even Trades,10,10,0,
,,,,
Avg. Trade Net Profit,$38.81,$38.81,$0.00,
Avg. Winning Trade,$238.44,$238.44,$0.00,
Avg. Losing Trade,($185.75),($185.75),$0.00,
Ratio Avg. Win:Avg. Loss,1.28,1.28,n/a,
Largest Winning Trade,$3000.00,$3000.00,$0.00,
Largest Losing Trade,($3000.00),($3000.00),$0.00,
Largest Winner as % of Gross Profit,2.62%,2.62%,n/a,
Largest Loser as % of Gross Loss,3.80%,3.80%,n/a,
,,,,
Net Profit as % of Largest Loss,1183.70%,1183.70%,n/a,
Select Net Profit as % of Largest Loss,955.40%,955.40%,n/a,
Adjusted Net Profit as % of Largest Loss,881.92%,881.92%,n/a,
,,,,
Max. Consecutive Winning Trades,9,9,0,
Max. Consecutive Losing Trades,8,8,0,
Avg. Bars in Total Trades,84.97,84.97,0.00,
Avg. Bars in Winning Trades,83.04,83.04,0.00,
Avg. Bars in Losing Trades,87.38,87.38,0.00,
Avg. Bars in Even Trades,75.40,75.40,0.00,
,,,,
Max. Shares/Contracts Held,3,3,0,
Total Shares/Contracts Held,2745,2745,0,
Account Size Required,$5058.00,$5058.00,$0.00,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,35.51%,,,
Annual Rate of Return,3.06%,,,
Buy & Hold Return,96.69%,,,
Return on Account,702.08%,,,
Avg. Monthly Return,$894.30,,,
Std. Deviation of Monthly Return,$1424.61,,,
,,,,
Return Retracement Ratio,2.78,,,
RINA Index,852.13,,,
Sharpe Ratio,0.11,,,
K-Ratio,n/a,,,
,,,,
Trading Period,9 Years 11 Months 19 hours 45 Minutes,,,
Percent of Time in the Market,8.01%,,,
Time in the Market,9 Months 16 days 2 hours 30 Minutes,,,
Longest Flat Period,33 days 17 hours 15 Minutes,,,
,,,,
Max. Equity Run-up,$38475.00,,,
Date of Max. Equity Run-up,17/06/2026 22:15,,,
Max Equity Run-up as % of Initial Capital,38.47%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($5934.00),($5934.00),$0.00,
Date,08/01/2026 20:10,,,
as % of Initial Capital,5.93%,5.93%,0.00%,
Net Profit as % of Drawdown,598.43%,598.43%,n/a,
Select Net Profit as % of Drawdown,483.01%,483.01%,n/a,
Adjusted Net Profit as % of Drawdown,445.87%,445.87%,n/a,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($5058.00),($5058.00),$0.00,
Date,01/09/26 01:05,,,
as % of Initial Capital,5.06%,5.06%,0.00%,
Net Profit as % of Drawdown,702.08%,702.08%,n/a,
Select Net Profit as % of Drawdown,566.67%,566.67%,0.00%,
Adjusted Net Profit as % of Drawdown,523.09%,523.09%,n/a,
,,,,
Max. Trade Drawdown,($3000.00),($3000.00),$0.00,


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,915,480,425,
Avg. Trade Net Profit,$38.81,$238.44,($185.75),
1 Std. Deviation of Avg. Trade,$413.48,$384.35,$325.51,
Avg. Trade + 1 Std. Deviation,$452.29,$622.79,$139.77,
Avg. Trade - 1 Std. Deviation,($374.67),($145.90),($511.26),
Coefficient of Variation,1065.40%,161.19%,175.25%,
,,,,
Time Averages,,,,
Avg. Time in Trades,7 hours 36 Minutes,7 hours 12 Minutes,8 hours 4 Minutes,
Avg. Time Between Trades,3 days 15 hours 23 Minutes,7 days 3 hours 57 Minutes,8 days 4 hours 39 Minutes,
Avg. Time Between Trade Profit Peaks,378 days 15 hours 49 Minutes,,,
,,,,
Outliers,Total,Positive,Negative,
Number of Outliers,17,10,7,
Outlier Profit/Loss,$6849.00,$22710.00,($15861.00),
,,,,
Run-up/Drawdown,,Run-up,Drawdown,
Max. Value,,$3000.00,($3000.00),
Max. Value Date,,20/01/2026,21/10/2025,
Avg. Value,,$237.09,($189.11),
1 Std. Deviation,,$372.46,$299.51,
Avg. + 1 Std. Deviation,,$609.55,$110.40,
Avg. - 1 Std. Deviation,,($135.37),($488.62),
Coefficient of Variation,,157.10%,158.38%,
,,,,
Efficiency Analysis,Total,Entry,Exit,
Avg. Efficiency,3.86%,52.60%,51.26%,
1 Std. Deviation,51.59%,31.03%,29.11%,
Avg. + 1 Std. Deviation,55.45%,83.63%,80.36%,
Avg. - 1 Std. Deviation,-47.73%,21.57%,22.15%,
Coefficient of Variation,1336.74%,58.99%,56.79%,
,,,,
TradeStation Trade Series Analysis,,,,
,,Winners,Losers,
Largest Profit/Loss,,$3000.00,($3000.00),
Largest Profit/Loss as % of Gross,,2.62%,3.80%,
Largest Consec. Profit/Loss,,$11838.00,($4155.00),
Largest Consec. Profit/Loss as % of Gross,,10.34%,5.26%,
,,,,
Winning Series,Number of Series,Avg. Gain per Series,Avg. Loss Next Trade,
1,107,$178.65,($142.84),
2,59,$205.30,($183.41),
3,29,$292.41,($345.31),
4,19,$193.58,($188.84),
5,5,$434.76,($808.20),
6,2,$142.00,($168.00),
7,4,$546.11,($823.50),
9,3,$114.67,($82.00),
,,,,
Losing Series,Number of Series,Avg. Loss per Series,Avg. Gain Next Trade,
1,129,($249.60),$252.67,
2,55,($140.45),$189.11,
3,27,($204.63),$165.33,
4,9,($112.08),$75.00,
5,7,($110.74),$110.57,
6,2,($259.00),$502.50,
7,2,($166.50),$13.50,
8,1,($171.00),$12.00,
,,,,


TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Buy,10/08/2016 18:20,Buy,$2099.0,$0.00,3,($150.00),-0.24%,$18.00,9.37%,,$0.00,$0.00
,Sell,11/08/2016 01:05,Sell,$2094.0,,($150.00),($150.00),,($174.00),12.50%,-78.12%,$0.00,$0.00
2,Buy,11/08/2016 18:25,Buy,$2089.6,$0.00,3,($6.00),-0.01%,$87.00,49.15%,,$0.00,$0.00
,Sell,12/08/2016 01:05,Sell,$2089.4,,($6.00),($156.00),,($90.00),47.46%,-3.39%,$0.00,$0.00
3,Buy,16/08/2016 18:20,Buy,$2098.3,$0.00,3,($150.00),-0.24%,$21.00,12.28%,,$0.00,$0.00
