

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$19270.00,$19270.00,$0.00,
Gross Profit,$85715.00,$85715.00,$0.00,
Gross Loss,($66445.00),($66445.00),$0.00,
Profit Factor,1.29,1.29,n/a,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$945.00,$945.00,$0.00,
,,,,
Select Total Net Profit,$22145.00,$22145.00,$0.00,
Select Gross Profit,$68270.00,$68270.00,$0.00,
Select Gross Loss,($46125.00),($46125.00),$0.00,
Select Profit Factor,1.48,1.48,n/a,
,,,,
Adjusted Total Net Profit,$8766.28,$8766.28,$0.00,
Adjusted Gross Profit,$79909.65,$79909.65,$0.00,
Adjusted Gross Loss,($71143.37),($71143.37),$0.00,
Adjusted Profit Factor,1.12,1.12,n/a,
,,,,
Total Number of Trades,430,430,0,
Percent Profitable,50.70%,50.70%,0.00%,
Winning Trades,218,218,0,
Losing Trades,200,200,0,
Even Trades,12,12,0,
,,,,
Avg. Trade Net Profit,$44.81,$44.81,$0.00,
Avg. Winning Trade,$393.19,$393.19,$0.00,
Avg. Losing Trade,($332.23),($332.23),$0.00,
Ratio Avg. Win:Avg. Loss,1.18,1.18,n/a,
Largest Winning Trade,$5275.00,$5275.00,$0.00,
Largest Losing Trade,($5965.00),($5965.00),$0.00,
Largest Winner as % of Gross Profit,6.15%,6.15%,n/a,
Largest Loser as % of Gross Loss,8.98%,8.98%,n/a,
,,,,
Net Profit as % of Largest Loss,323.05%,323.05%,n/a,
Select Net Profit as % of Largest Loss,371.25%,371.25%,n/a,
Adjusted Net Profit as % of Largest Loss,146.96%,146.96%,n/a,
,,,,
Max. Consecutive Winning Trades,10,10,0,
Max. Consecutive Losing Trades,6,6,0,
Avg. Bars in Total Trades,213.89,213.89,0.00,
Avg. Bars in Winning Trades,215.61,215.61,0.00,
Avg. Bars in Losing Trades,215.52,215.52,0.00,
Avg. Bars in Even Trades,155.50,155.50,0.00,
,,,,
Max. Shares/Contracts Held,5,5,0,
Total Shares/Contracts Held,2155,2155,0,
Account Size Required,$21305.00,$21305.00,$0.00,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,19.27%,,,
Annual Rate of Return,1.76%,,,
Buy & Hold Return,95.21%,,,
Return on Account,90.45%,,,
Avg. Monthly Return,($19.13),,,
Std. Deviation of Monthly Return,$2554.97,,,
,,,,
Return Retracement Ratio,0.88,,,
RINA Index,19.81,,,
Sharpe Ratio,0.00,,,
K-Ratio,n/a,,,
,,,,
Trading Period,10 Years 3 days 11 hours 8 Minutes,,,
Percent of Time in the Market,26.64%,,,
Time in the Market,2 Years 7 Months 28 days 23 hours 23 Minutes,,,
Longest Flat Period,39 days 19 hours 56 Minutes,,,
,,,,
Max. Equity Run-up,$37870.00,,,
Date of Max. Equity Run-up,08/03/2026 18:01,,,
Max Equity Run-up as % of Initial Capital,37.87%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($23215.00),($23215.00),$0.00,
Date,12/06/2026 15:36,,,
as % of Initial Capital,23.22%,23.22%,0.00%,
Net Profit as % of Drawdown,83.01%,83.01%,n/a,
Select Net Profit as % of Drawdown,95.39%,95.39%,n/a,
Adjusted Net Profit as % of Drawdown,37.76%,37.76%,n/a,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($21305.00),($21305.00),$0.00,
Date,06/07/26 18:05,,,
as % of Initial Capital,21.31%,21.31%,0.00%,
Net Profit as % of Drawdown,90.45%,90.45%,n/a,
Select Net Profit as % of Drawdown,103.94%,103.94%,0.00%,
Adjusted Net Profit as % of Drawdown,41.15%,41.15%,n/a,
,,,,
Max. Trade Drawdown,($7985.00),($7985.00),$0.00,


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,430,218,200,
Avg. Trade Net Profit,$44.81,$393.19,($332.23),
1 Std. Deviation of Avg. Trade,$744.92,$633.34,$694.90,
Avg. Trade + 1 Std. Deviation,$789.73,$1026.53,$362.68,
Avg. Trade - 1 Std. Deviation,($700.10),($240.16),($1027.13),
Coefficient of Variation,1662.24%,161.08%,209.17%,
,,,,
Time Averages,,,,
