

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$89569.50,$38818.50,$50751.00,
Gross Profit,$698589.00,$347896.50,$350692.50,
Gross Loss,($609019.50),($309078.00),($299941.50),
Profit Factor,1.15,1.13,1.17,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$0.00,$0.00,$0.00,
,,,,
Select Total Net Profit,$92961.00,$41500.50,$51460.50,
Select Gross Profit,$695271.00,$346239.00,$349032.00,
Select Gross Loss,($602310.00),($304738.50),($297571.50),
Select Profit Factor,1.15,1.14,1.17,
,,,,
Adjusted Total Net Profit,$56371.89,$15901.89,$26578.23,
Adjusted Gross Profit,$680280.99,$335695.24,$336862.54,
Adjusted Gross Loss,($623909.11),($319793.35),($310284.31),
Adjusted Profit Factor,1.09,1.05,1.09,
,,,,
Total Number of Trades,3192,1674,1518,
Percent Profitable,45.61%,48.57%,42.36%,
Winning Trades,1456,813,643,
Losing Trades,1673,832,841,
Even Trades,63,29,34,
,,,,
Avg. Trade Net Profit,$28.06,$23.19,$33.43,
Avg. Winning Trade,$479.80,$427.92,$545.40,
Avg. Losing Trade,($364.03),($371.49),($356.65),
Ratio Avg. Win:Avg. Loss,1.32,1.15,1.53,
Largest Winning Trade,$1660.50,$1657.50,$1660.50,
Largest Losing Trade,($2370.00),($2343.00),($2370.00),
Largest Winner as % of Gross Profit,0.24%,0.48%,0.47%,
Largest Loser as % of Gross Loss,0.39%,0.76%,0.79%,
,,,,
Net Profit as % of Largest Loss,3779.30%,1656.79%,2141.39%,
Select Net Profit as % of Largest Loss,3922.41%,1771.25%,2171.33%,
Adjusted Net Profit as % of Largest Loss,2378.56%,678.70%,1121.44%,
,,,,
Max. Consecutive Winning Trades,10,9,5,
Max. Consecutive Losing Trades,12,10,8,
Avg. Bars in Total Trades,42.39,44.15,40.45,
Avg. Bars in Winning Trades,51.29,55.37,46.14,
Avg. Bars in Losing Trades,35.44,33.95,36.91,
Avg. Bars in Even Trades,20.94,21.83,20.18,
,,,,
Max. Shares/Contracts Held,3,3,3,
Total Shares/Contracts Held,9576,5022,4554,
Account Size Required,$13071.00,$7402.50,$12004.50,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,8.96%,,,
Annual Rate of Return,0.86%,,,
Buy & Hold Return,271.89%,,,
Return on Account,685.25%,,,
Avg. Monthly Return,$1014.90,,,
Std. Deviation of Monthly Return,$3104.38,,,
,,,,
Return Retracement Ratio,3.94,,,
RINA Index,1980.89,,,
Sharpe Ratio,-0.43,,,
K-Ratio,n/a,,,
,,,,
Trading Period,10 Years 1 day 2 hours 15 Minutes,,,
Percent of Time in the Market,15.04%,,,
Time in the Market,1 Year 6 Months 18 hours 10 Minutes,,,
Longest Flat Period,4 days,,,
,,,,
Max. Equity Run-up,$99682.50,,,
Date of Max. Equity Run-up,15/05/2026 13:10,,,
Max Equity Run-up as % of Initial Capital,9.97%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($13962.00),($8296.50),($12267.00),
Date,04/09/2025 12:00,,,
as % of Initial Capital,1.40%,0.83%,1.23%,
Net Profit as % of Drawdown,641.52%,467.89%,413.72%,
Select Net Profit as % of Drawdown,665.81%,500.22%,419.50%,
Adjusted Net Profit as % of Drawdown,403.75%,191.67%,216.66%,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($13071.00),($7402.50),($12004.50),
Date,09/04/25 10:25,,,
as % of Initial Capital,1.31%,0.74%,1.20%,
Net Profit as % of Drawdown,685.25%,524.40%,422.77%,
Select Net Profit as % of Drawdown,711.20%,560.63%,428.68%,
Adjusted Net Profit as % of Drawdown,431.27%,214.82%,221.40%,
,,,,
Max. Trade Drawdown,($2370.00),($2343.00),($2370.00),


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,3192,1456,1673,
Avg. Trade Net Profit,$28.06,$479.80,($364.03),
1 Std. Deviation of Avg. Trade,$521.62,$386.93,$239.66,
Avg. Trade + 1 Std. Deviation,$549.68,$866.73,($124.37),
Avg. Trade - 1 Std. Deviation,($493.56),$92.87,($603.69),
Coefficient of Variation,1858.91%,80.64%,65.83%,
,,,,
Time Averages,,,,
Avg. Time in Trades,4 hours 8 Minutes,4 hours 37 Minutes,3 hours 48 Minutes,
Avg. Time Between Trades,23 hours 20 Minutes,2 days 7 hours 37 Minutes,2 days 36 Minutes,
Avg. Time Between Trade Profit Peaks,68 days 11 hours 41 Minutes,,,
,,,,
Outliers,Total,Positive,Negative,
Number of Outliers,5,2,3,
Outlier Profit/Loss,($3391.50),$3318.00,($6709.50),
,,,,
Run-up/Drawdown,,Run-up,Drawdown,
Max. Value,,$1660.50,($2370.00),
Max. Value Date,,16/06/2026,20/06/2025,
Avg. Value,,$382.39,($289.42),
1 Std. Deviation,,$348.36,$221.97,
Avg. + 1 Std. Deviation,,$730.75,($67.46),
Avg. - 1 Std. Deviation,,$34.02,($511.39),
Coefficient of Variation,,91.10%,76.69%,
,,,,
Efficiency Analysis,Total,Entry,Exit,
Avg. Efficiency,-4.67%,51.97%,43.36%,
1 Std. Deviation,64.47%,30.29%,39.84%,
Avg. + 1 Std. Deviation,59.81%,82.26%,83.20%,
Avg. - 1 Std. Deviation,-69.14%,21.68%,3.53%,
Coefficient of Variation,1381.95%,58.29%,91.86%,
,,,,
TradeStation Trade Series Analysis,,,,
,,Winners,Losers,
Largest Profit/Loss,,$1660.50,($2370.00),
Largest Profit/Loss as % of Gross,,0.24%,0.39%,
Largest Consec. Profit/Loss,,$7458.00,($4920.00),
Largest Consec. Profit/Loss as % of Gross,,1.07%,0.81%,
,,,,
Winning Series,Number of Series,Avg. Gain per Series,Avg. Loss Next Trade,
1,447,$511.36,($374.41),
2,206,$477.34,($362.92),
3,92,$474.05,($368.17),
4,39,$461.12,($345.69),
5,15,$451.40,($455.90),
6,8,$444.63,($326.63),
7,1,$165.00,($24.00),
8,2,$413.44,($611.25),
9,1,$731.17,($652.50),
10,1,$102.90,($58.50),
,,,,
Losing Series,Number of Series,Avg. Loss per Series,Avg. Gain Next Trade,
1,386,($389.04),$416.41,
2,221,($364.48),$499.73,
3,102,($381.68),$472.40,
4,55,($340.64),$441.38,
5,39,($338.59),$472.62,
6,11,($351.82),$596.86,
7,3,($227.79),$413.50,
8,2,($437.91),$557.25,
9,1,($347.17),$0.00,
12,1,($154.50),$61.50,
,,,,


TradeStation Trades List

