

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$283345.00,$0.00,$283345.00,
Gross Profit,$626780.00,$0.00,$626780.00,
Gross Loss,($343435.00),$0.00,($343435.00),
Profit Factor,1.83,n/a,1.83,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$0.00,$0.00,$0.00,
,,,,
Select Total Net Profit,$255700.00,$0.00,$255700.00,
Select Gross Profit,$565065.00,$0.00,$565065.00,
Select Gross Loss,($309365.00),$0.00,($309365.00),
Select Profit Factor,1.83,n/a,1.83,
,,,,
Adjusted Total Net Profit,$231625.57,$0.00,$231625.57,
Adjusted Gross Profit,$589521.80,$0.00,$589521.80,
Adjusted Gross Loss,($357896.22),$0.00,($357896.22),
Adjusted Profit Factor,1.65,n/a,1.65,
,,,,
Total Number of Trades,847,0,847,
Percent Profitable,33.41%,0.00%,33.41%,
Winning Trades,283,0,283,
Losing Trades,564,0,564,
Even Trades,0,0,0,
,,,,
Avg. Trade Net Profit,$334.53,$0.00,$334.53,
Avg. Winning Trade,$2214.77,$0.00,$2214.77,
Avg. Losing Trade,($608.93),$0.00,($608.93),
Ratio Avg. Win:Avg. Loss,3.64,n/a,3.64,
Largest Winning Trade,$14900.00,$0.00,$14900.00,
Largest Losing Trade,($4005.00),$0.00,($4005.00),
Largest Winner as % of Gross Profit,2.38%,n/a,2.38%,
Largest Loser as % of Gross Loss,1.17%,n/a,1.17%,
,,,,
Net Profit as % of Largest Loss,7074.78%,n/a,7074.78%,
Select Net Profit as % of Largest Loss,6384.52%,n/a,6384.52%,
Adjusted Net Profit as % of Largest Loss,5783.41%,n/a,5783.41%,
,,,,
Max. Consecutive Winning Trades,5,0,5,
Max. Consecutive Losing Trades,11,0,11,
Avg. Bars in Total Trades,9.68,0.00,9.68,
Avg. Bars in Winning Trades,18.95,0.00,18.95,
Avg. Bars in Losing Trades,5.02,0.00,5.02,
Avg. Bars in Even Trades,0.00,0.00,0.00,
,,,,
Max. Shares/Contracts Held,1,0,1,
Total Shares/Contracts Held,847,0,847,
Account Size Required,$15850.00,$0.00,$15850.00,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,283.35%,,,
Annual Rate of Return,13.44%,,,
Buy & Hold Return,270.48%,,,
Return on Account,1787.67%,,,
Avg. Monthly Return,$3801.63,,,
Std. Deviation of Monthly Return,$7327.49,,,
,,,,
Return Retracement Ratio,10.47,,,
RINA Index,15978.39,,,
Sharpe Ratio,0.40,,,
K-Ratio,n/a,,,
,,,,
Trading Period,9 Years 11 Months 28 days 16 hours 15 Minutes,,,
Percent of Time in the Market,2.16%,,,
