

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$5547.00,$0.00,$5547.00,
Gross Profit,$28248.50,$0.00,$28248.50,
Gross Loss,($22701.50),$0.00,($22701.50),
Profit Factor,1.24,n/a,1.24,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$0.00,$0.00,$0.00,
,,,,
Select Total Net Profit,$6207.00,$0.00,$6207.00,
Select Gross Profit,$25229.50,$0.00,$25229.50,
Select Gross Loss,($19022.50),$0.00,($19022.50),
Select Profit Factor,1.33,n/a,1.33,
,,,,
Adjusted Total Net Profit,$1548.86,$0.00,$1548.86,
Adjusted Gross Profit,$25721.88,$0.00,$25721.88,
Adjusted Gross Loss,($24173.02),$0.00,($24173.02),
Adjusted Profit Factor,1.06,n/a,1.06,
,,,,
Total Number of Trades,363,0,363,
Percent Profitable,34.44%,0.00%,34.44%,
Winning Trades,125,0,125,
Losing Trades,238,0,238,
Even Trades,0,0,0,
,,,,
Avg. Trade Net Profit,$15.28,$0.00,$15.28,
Avg. Winning Trade,$225.99,$0.00,$225.99,
Avg. Losing Trade,($95.38),$0.00,($95.38),
Ratio Avg. Win:Avg. Loss,2.37,n/a,2.37,
Largest Winning Trade,$1066.00,$0.00,$1066.00,
Largest Losing Trade,($1031.00),$0.00,($1031.00),
Largest Winner as % of Gross Profit,3.77%,n/a,3.77%,
Largest Loser as % of Gross Loss,4.54%,n/a,4.54%,
,,,,
Net Profit as % of Largest Loss,538.02%,n/a,538.02%,
Select Net Profit as % of Largest Loss,602.04%,n/a,602.04%,
Adjusted Net Profit as % of Largest Loss,150.23%,n/a,150.23%,
,,,,
Max. Consecutive Winning Trades,5,0,5,
Max. Consecutive Losing Trades,11,0,11,
Avg. Bars in Total Trades,10.58,0.00,10.58,
Avg. Bars in Winning Trades,19.09,0.00,19.09,
Avg. Bars in Losing Trades,6.11,0.00,6.11,
Avg. Bars in Even Trades,0.00,0.00,0.00,
,,,,
Max. Shares/Contracts Held,1,0,1,
Total Shares/Contracts Held,363,0,363,
Account Size Required,$4130.50,$0.00,$4130.50,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,5.55%,,,
Annual Rate of Return,0.54%,,,
Buy & Hold Return,264.33%,,,
Return on Account,134.29%,,,
Avg. Monthly Return,$65.05,,,
Std. Deviation of Monthly Return,$535.78,,,
,,,,
Return Retracement Ratio,0.89,,,
RINA Index,2233.87,,,
Sharpe Ratio,-0.30,,,
K-Ratio,n/a,,,
,,,,
Trading Period,9 Years 11 Months 13 days,,,
Percent of Time in the Market,1.19%,,,
Time in the Market,1 Month 12 days 7 hours 45 Minutes,,,
Longest Flat Period,69 days 23 hours 45 Minutes,,,
,,,,
Max. Equity Run-up,$6803.00,,,
Date of Max. Equity Run-up,07/04/2025 09:00,,,
Max Equity Run-up as % of Initial Capital,6.80%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($4393.50),$0.00,($4393.50),
Date,12/03/2026 09:30,,,
as % of Initial Capital,4.39%,0.00%,4.39%,
Net Profit as % of Drawdown,126.25%,n/a,126.25%,
Select Net Profit as % of Drawdown,141.28%,n/a,141.28%,
Adjusted Net Profit as % of Drawdown,35.25%,n/a,35.25%,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($4130.50),$0.00,($4130.50),
Date,03/19/26 12:45,,,
as % of Initial Capital,4.13%,0.00%,4.13%,
Net Profit as % of Drawdown,134.29%,n/a,134.29%,
Select Net Profit as % of Drawdown,150.27%,n/a,150.27%,
Adjusted Net Profit as % of Drawdown,37.50%,n/a,37.50%,
,,,,
Max. Trade Drawdown,($1083.50),$0.00,($1083.50),


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,363,125,238,
Avg. Trade Net Profit,$15.28,$225.99,($95.38),
1 Std. Deviation of Avg. Trade,$215.48,$205.24,$114.74,
Avg. Trade + 1 Std. Deviation,$230.76,$431.23,$19.35,
Avg. Trade - 1 Std. Deviation,($200.19),$20.75,($210.12),
Coefficient of Variation,1410.09%,90.82%,120.29%,
,,,,
Time Averages,,,,
Avg. Time in Trades,2 hours 51 Minutes,4 hours 41 Minutes,1 hour 54 Minutes,
Avg. Time Between Trades,9 days 21 hours 31 Minutes,28 days 19 hours 52 Minutes,15 days 5 hours 16 Minutes,
Avg. Time Between Trade Profit Peaks,396 days 21 hours 10 Minutes,,,
,,,,
Outliers,Total,Positive,Negative,
Number of Outliers,9,3,6,
Outlier Profit/Loss,($660.00),$3019.00,($3679.00),
,,,,
Run-up/Drawdown,,Run-up,Drawdown,
Max. Value,,$1066.00,($1083.50),
Max. Value Date,,05/06/2026,07/04/2025,
Avg. Value,,$163.78,($95.46),
1 Std. Deviation,,$180.54,$111.59,
Avg. + 1 Std. Deviation,,$344.33,$16.13,
Avg. - 1 Std. Deviation,,($16.76),($207.04),
Coefficient of Variation,,110.24%,116.90%,
,,,,
Efficiency Analysis,Total,Entry,Exit,
Avg. Efficiency,-11.79%,54.95%,33.26%,
1 Std. Deviation,55.53%,30.19%,32.45%,
Avg. + 1 Std. Deviation,43.75%,85.14%,65.71%,
Avg. - 1 Std. Deviation,-67.32%,24.76%,0.82%,
Coefficient of Variation,471.21%,54.94%,97.55%,
,,,,
TradeStation Trade Series Analysis,,,,
,,Winners,Losers,
Largest Profit/Loss,,$1066.00,($1031.00),
Largest Profit/Loss as % of Gross,,3.77%,4.54%,
Largest Consec. Profit/Loss,,$2426.50,($2337.50),
Largest Consec. Profit/Loss as % of Gross,,8.59%,10.30%,
,,,,
Winning Series,Number of Series,Avg. Gain per Series,Avg. Loss Next Trade,
1,52,$199.70,($96.01),
2,25,$226.54,($120.98),
3,2,$135.50,($54.50),
4,3,$426.33,($195.33),
5,1,$121.60,($166.50),
,,,,
Losing Series,Number of Series,Avg. Loss per Series,Avg. Gain Next Trade,
1,30,($104.43),$240.22,
2,17,($86.74),$223.41,
3,17,($64.36),$186.47,
4,4,($154.09),$315.75,
5,6,($106.55),$132.25,
6,4,($84.00),$228.88,
8,3,($66.27),$130.00,
9,2,($200.56),$299.50,
11,1,($41.68),$238.50,
,,,,


TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

