

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$35508.00,$0.00,$35508.00,
Gross Profit,$165456.00,$0.00,$165456.00,
Gross Loss,($129948.00),$0.00,($129948.00),
Profit Factor,1.27,n/a,1.27,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$0.00,$0.00,$0.00,
,,,,
Select Total Net Profit,$37989.00,$0.00,$37989.00,
Select Gross Profit,$148848.00,$0.00,$148848.00,
Select Gross Loss,($110859.00),$0.00,($110859.00),
Select Profit Factor,1.34,n/a,1.34,
,,,,
Adjusted Total Net Profit,$20032.35,$0.00,$20032.35,
Adjusted Gross Profit,$155723.29,$0.00,$155723.29,
Adjusted Gross Loss,($135690.94),$0.00,($135690.94),
Adjusted Profit Factor,1.15,n/a,1.15,
,,,,
Total Number of Trades,861,0,861,
Percent Profitable,33.57%,0.00%,33.57%,
Winning Trades,289,0,289,
Losing Trades,512,0,512,
Even Trades,60,0,60,
,,,,
Avg. Trade Net Profit,$41.24,$0.00,$41.24,
Avg. Winning Trade,$572.51,$0.00,$572.51,
Avg. Losing Trade,($253.80),$0.00,($253.80),
Ratio Avg. Win:Avg. Loss,2.26,n/a,2.26,
Largest Winning Trade,$2686.50,$0.00,$2686.50,
Largest Losing Trade,($1849.50),$0.00,($1849.50),
Largest Winner as % of Gross Profit,1.62%,n/a,1.62%,
Largest Loser as % of Gross Loss,1.42%,n/a,1.42%,
,,,,
Net Profit as % of Largest Loss,1919.87%,n/a,1919.87%,
Select Net Profit as % of Largest Loss,2054.01%,n/a,2054.01%,
Adjusted Net Profit as % of Largest Loss,1083.12%,n/a,1083.12%,
,,,,
Max. Consecutive Winning Trades,5,0,5,
Max. Consecutive Losing Trades,10,0,10,
Avg. Bars in Total Trades,9.90,0.00,9.90,
Avg. Bars in Winning Trades,16.22,0.00,16.22,
Avg. Bars in Losing Trades,7.37,0.00,7.37,
Avg. Bars in Even Trades,1.02,0.00,1.02,
,,,,
Max. Shares/Contracts Held,3,0,3,
Total Shares/Contracts Held,2583,0,2583,
Account Size Required,$10081.50,$0.00,$10081.50,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,35.51%,,,
Annual Rate of Return,3.04%,,,
Buy & Hold Return,268.35%,,,
Return on Account,352.21%,,,
Avg. Monthly Return,$244.01,,,
Std. Deviation of Monthly Return,$1864.45,,,
,,,,
Return Retracement Ratio,1.82,,,
RINA Index,3112.77,,,
Sharpe Ratio,0.08,,,
K-Ratio,n/a,,,
,,,,
Trading Period,9 Years 11 Months 26 days 45 Minutes,,,
Percent of Time in the Market,2.62%,,,
Time in the Market,3 Months 3 days 17 hours,,,
Longest Flat Period,25 days 45 Minutes,,,
,,,,
Max. Equity Run-up,$46741.50,,,
Date of Max. Equity Run-up,26/02/2026 09:45,,,
Max Equity Run-up as % of Initial Capital,46.74%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($11214.00),$0.00,($11214.00),
Date,29/06/2026 09:30,,,
as % of Initial Capital,11.21%,0.00%,11.21%,
Net Profit as % of Drawdown,316.64%,n/a,316.64%,
Select Net Profit as % of Drawdown,338.76%,n/a,338.76%,
Adjusted Net Profit as % of Drawdown,178.64%,n/a,178.64%,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($10081.50),$0.00,($10081.50),
Date,06/29/26 09:45,,,
as % of Initial Capital,10.08%,0.00%,10.08%,
Net Profit as % of Drawdown,352.21%,n/a,352.21%,
Select Net Profit as % of Drawdown,376.82%,n/a,376.82%,
Adjusted Net Profit as % of Drawdown,198.70%,n/a,198.70%,
,,,,
Max. Trade Drawdown,($2242.50),$0.00,($2242.50),


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,861,289,512,
Avg. Trade Net Profit,$41.24,$572.51,($253.80),
1 Std. Deviation of Avg. Trade,$550.94,$565.06,$289.56,
Avg. Trade + 1 Std. Deviation,$592.19,$1137.57,$35.76,
Avg. Trade - 1 Std. Deviation,($509.70),$7.45,($543.37),
Coefficient of Variation,1335.93%,98.70%,114.09%,
,,,,
Time Averages,,,,
Avg. Time in Trades,2 hours 40 Minutes,4 hours 20 Minutes,2 hours 1 Minute,
Avg. Time Between Trades,4 days 3 hours 3 Minutes,12 days 9 hours 49 Minutes,7 days 24 Minutes,
Avg. Time Between Trade Profit Peaks,199 days 15 hours 49 Minutes,,,
,,,,
Outliers,Total,Positive,Negative,
Number of Outliers,20,7,13,
Outlier Profit/Loss,($2481.00),$16608.00,($19089.00),
,,,,
Run-up/Drawdown,,Run-up,Drawdown,
Max. Value,,$2686.50,($2242.50),
Max. Value Date,,05/06/2026,25/06/2026,
Avg. Value,,$383.97,($231.83),
1 Std. Deviation,,$478.32,$277.96,
Avg. + 1 Std. Deviation,,$862.28,$46.13,
Avg. - 1 Std. Deviation,,($94.35),($509.78),
Coefficient of Variation,,124.57%,119.90%,
,,,,
Efficiency Analysis,Total,Entry,Exit,
Avg. Efficiency,-6.05%,55.62%,38.33%,
1 Std. Deviation,62.35%,32.49%,36.02%,
Avg. + 1 Std. Deviation,56.30%,88.11%,74.35%,
Avg. - 1 Std. Deviation,-68.40%,23.13%,2.31%,
Coefficient of Variation,1030.52%,58.41%,93.96%,
,,,,
TradeStation Trade Series Analysis,,,,
,,Winners,Losers,
Largest Profit/Loss,,$2686.50,($1849.50),
Largest Profit/Loss as % of Gross,,1.62%,1.42%,
Largest Consec. Profit/Loss,,$7234.50,($5440.50),
Largest Consec. Profit/Loss as % of Gross,,4.37%,4.19%,
,,,,
Winning Series,Number of Series,Avg. Gain per Series,Avg. Loss Next Trade,
1,138,$563.14,($229.07),
2,44,$505.99,($252.95),
3,8,$616.25,($303.75),
4,6,$717.44,($315.75),
5,3,$747.10,($170.00),
,,,,
Losing Series,Number of Series,Avg. Loss per Series,Avg. Gain Next Trade,
1,102,($266.97),$413.90,
2,45,($281.35),$429.90,
3,34,($290.88),$665.78,
4,17,($180.20),$348.62,
5,12,($280.20),$482.75,
6,5,($172.25),$784.50,
7,6,($196.64),$313.00,
8,1,($589.50),$30.00,
10,1,($51.75),$45.00,
,,,,


TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Sell Short,14/07/2016 08:45,StochES2,$8154.50,$0.00,3,$0.00,0.00%,$0.00,100.00%,,$0.00,$0.00
,Buy to Cover,14/07/2016 08:45,EoDS,$8154.50,,$0.00,$0.00,,$0.00,100.00%,100.00%,$0.00,$0.00
2,Sell Short,22/07/2016 09:00,StochES1,$8199.75,$0.00,3,($141.00),-0.29%,$1.50,0.83%,,$0.00,$0.00
,Buy to Cover,22/07/2016 15:00,EoDS,$8223.25,,($141.00),($141.00),,($180.00),21.49%,-77.69%,$0.00,$0.00
3,Sell Short,26/07/2016 10:15,StochES2,$8209.25,$0.00,3,($114.00),-0.23%,$18.00,11.76%,,$0.00,$0.00
,Buy to Cover,26/07/2016 11:45,StochSx2,$8228.25,,($114.00),($255.00),,($135.00),13.73%,-74.51%,$0.00,$0.00
4,Sell Short,26/07/2016 14:15,StochES2,$8226.00,$0.00,3,($19.50),-0.04%,$1.50,4.35%,,$0.00,$0.00
,Buy to Cover,26/07/2016 14:30,StochSx2,$8229.25,,($19.50),($274.50),,($33.00),39.13%,-56.52%,$0.00,$0.00
5,Sell Short,02/08/2016 09:00,StochES1,$8294.25,$0.00,3,$72.00,0.14%,$283.50,89.57%,,$0.00,$0.00
,Buy to Cover,02/08/2016 15:00,EoDS,$8282.25,,$72.00,($202.50),,($33.00),33.18%,22.75%,$0.00,$0.00
6,Sell Short,03/08/2016 13:45,StochES2,$8279.25,$0.00,3,($25.50),-0.05%,$4.50,15.00%,,$0.00,$0.00
,Buy to Cover,03/08/2016 14:00,StochSx2,$8283.50,,($25.50),($228.00),,($25.50),0.00%,-85.00%,$0.00,$0.00
7,Sell Short,11/08/2016 09:30,StochES2,$8354.25,$0.00,3,($24.00),-0.05%,$3.00,8.70%,,$0.00,$0.00
,Buy to Cover,11/08/2016 09:45,StochSx2,$8358.25,,($24.00),($252.00),,($31.50),21.74%,-69.57%,$0.00,$0.00
8,Sell Short,16/08/2016 09:00,StochES1,$8364.75,$0.00,3,($27.00),-0.05%,$15.00,15.15%,,$0.00,$0.00
,Buy to Cover,16/08/2016 15:00,EoDS,$8369.25,,($27.00),($279.00),,($84.00),57.58%,-27.27%,$0.00,$0.00
9,Sell Short,17/08/2016 14:30,StochES2,$8361.00,$0.00,3,($34.50),-0.07%,$13.50,26.47%,,$0.00,$0.00
,Buy to Cover,17/08/2016 14:45,StochSx2,$8366.75,,($34.50),($313.50),,($37.50),5.88%,-67.65%,$0.00,$0.00
10,Sell Short,19/08/2016 09:00,StochES1,$8356.50,$0.00,3,($118.50),-0.24%,$37.50,24.04%,,$0.00,$0.00
,Buy to Cover,19/08/2016 09:45,StochSx2,$8376.25,,($118.50),($432.00),,($118.50),0.00%,-75.96%,$0.00,$0.00
11,Sell Short,19/08/2016 12:15,StochES2,$8361.75,$0.00,3,($43.50),-0.09%,$24.00,34.78%,,$0.00,$0.00
,Buy to Cover,19/08/2016 14:00,StochSx2,$8369.00,,($43.50),($475.50),,($45.00),2.17%,-63.04%,$0.00,$0.00
12,Sell Short,22/08/2016 09:00,StochES1,$8363.00,$0.00,3,($105.00),-0.21%,$18.00,12.90%,,$0.00,$0.00
,Buy to Cover,22/08/2016 09:45,StochSx2,$8380.50,,($105.00),($580.50),,($121.50),11.83%,-75.27%,$0.00,$0.00
13,Sell Short,22/08/2016 10:45,StochES2,$8359.00,$0.00,3,($93.00),-0.19%,$15.00,11.90%,,$0.00,$0.00
,Buy to Cover,22/08/2016 11:45,StochSx2,$8374.50,,($93.00),($673.50),,($111.00),14.29%,-73.81%,$0.00,$0.00
14,Sell Short,22/08/2016 13:45,StochES2,$8363.75,$0.00,3,($39.00),-0.08%,$6.00,12.50%,,$0.00,$0.00
,Buy to Cover,22/08/2016 14:00,StochSx2,$8370.25,,($39.00),($712.50),,($42.00),6.25%,-81.25%,$0.00,$0.00
15,Sell Short,26/08/2016 11:15,StochES2,$8348.25,$0.00,3,($7.50),-0.01%,$154.50,81.10%,,$0.00,$0.00
,Buy to Cover,26/08/2016 15:00,EoDS,$8349.50,,($7.50),($720.00),,($36.00),14.96%,-3.94%,$0.00,$0.00
16,Sell Short,30/08/2016 09:30,StochES2,$8345.25,$0.00,3,$45.00,0.09%,$121.50,85.26%,,$0.00,$0.00
,Buy to Cover,30/08/2016 15:00,EoDS,$8337.75,,$45.00,($675.00),,($21.00),46.32%,31.58%,$0.00,$0.00
17,Sell Short,01/09/2016 09:45,StochES2,$8325.50,$0.00,3,($57.00),-0.11%,$64.50,53.09%,,$0.00,$0.00
,Buy to Cover,01/09/2016 11:30,StochSx2,$8335.00,,($57.00),($732.00),,($57.00),0.00%,-46.91%,$0.00,$0.00
18,Sell Short,02/09/2016 13:00,StochES2,$8347.00,$0.00,3,($15.00),-0.03%,$3.00,9.09%,,$0.00,$0.00
,Buy to Cover,02/09/2016 13:15,StochSx2,$8349.50,,($15.00),($747.00),,($30.00),45.45%,-45.45%,$0.00,$0.00
19,Sell Short,05/09/2016 09:45,StochES2,$8348.00,$0.00,3,($16.50),-0.03%,$3.00,15.38%,,$0.00,$0.00
,Buy to Cover,05/09/2016 10:00,StochSx2,$8350.75,,($16.50),($763.50),,($16.50),0.00%,-84.62%,$0.00,$0.00
20,Sell Short,08/09/2016 09:00,StochES1,$8377.75,$0.00,3,$36.00,0.07%,$135.00,84.11%,,$0.00,$0.00
,Buy to Cover,08/09/2016 15:00,EoDS,$8371.75,,$36.00,($727.50),,($25.50),38.32%,22.43%,$0.00,$0.00
21,Sell Short,13/09/2016 11:45,StochES2,$8278.00,$0.00,3,($91.50),-0.18%,$75.00,42.37%,,$0.00,$0.00
,Buy to Cover,13/09/2016 12:45,StochSx2,$8293.25,,($91.50),($819.00),,($102.00),5.93%,-51.69%,$0.00,$0.00
22,Sell Short,13/09/2016 13:45,StochES2,$8273.50,$0.00,3,($69.00),-0.14%,$22.50,23.44%,,$0.00,$0.00
,Buy to Cover,13/09/2016 14:00,StochSx2,$8285.00,,($69.00),($888.00),,($73.50),4.69%,-71.88%,$0.00,$0.00
23,Sell Short,13/09/2016 14:15,StochES2,$8276.00,$0.00,3,($76.50),-0.15%,$43.50,32.22%,,$0.00,$0.00
,Buy to Cover,13/09/2016 14:45,StochSx2,$8288.75,,($76.50),($964.50),,($91.50),11.11%,-56.67%,$0.00,$0.00
24,Sell Short,14/09/2016 14:45,StochES2,$8296.25,$0.00,3,($87.00),-0.17%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,14/09/2016 15:00,StochSx2,$8310.75,,($87.00),($1051.50),,($99.00),12.12%,-87.88%,$0.00,$0.00
